time,open,high,low,close,EMA
2025-07-14T09:15:00+05:30,300.45,300.45,297.65,299.3,
2025-07-14T09:18:00+05:30,299.4,300.2,299.4,299.85,
2025-07-14T09:21:00+05:30,299.55,299.75,299.5,299.5,
2025-07-14T09:24:00+05:30,299.1,299.4,298.65,299.25,
2025-07-14T09:27:00+05:30,299.4,300.7,299.4,300.65,
2025-07-14T09:30:00+05:30,300.75,302.3,300.65,302.05,
2025-07-14T09:33:00+05:30,301.9,301.9,301.4,301.55,
2025-07-14T09:36:00+05:30,301.7,302.05,301,301.2,
2025-07-14T09:39:00+05:30,301.55,301.75,300.9,301.05,
2025-07-14T09:42:00+05:30,301.15,301.15,300.65,300.85,
2025-07-14T09:45:00+05:30,300.9,301.95,300.9,301.9,
2025-07-14T09:48:00+05:30,302,302,301.45,301.75,
2025-07-14T09:51:00+05:30,301.75,302.4,301.75,302.3,
2025-07-14T09:54:00+05:30,302.3,302.35,302.15,302.25,
2025-07-14T09:57:00+05:30,302.25,302.6,302.1,302.1,
2025-07-14T10:00:00+05:30,302.25,302.55,302.2,302.3,
2025-07-14T10:03:00+05:30,302.35,302.35,301.8,301.8,
2025-07-14T10:06:00+05:30,301.9,301.9,301.4,301.8,
2025-07-14T10:09:00+05:30,301.8,301.95,301.8,301.9,
2025-07-14T10:12:00+05:30,301.95,302.75,301.9,302.55,
2025-07-14T10:15:00+05:30,302.6,302.85,302.5,302.8,
2025-07-14T10:18:00+05:30,302.8,303.1,302.8,303.1,
2025-07-14T10:21:00+05:30,303.15,303.25,303.1,303.2,
2025-07-14T10:24:00+05:30,303.2,303.35,303.1,303.35,
2025-07-14T10:27:00+05:30,303.4,303.6,303.35,303.6,
2025-07-14T10:30:00+05:30,303.85,304.6,303.6,304.3,
2025-07-14T10:33:00+05:30,304.35,304.45,304.15,304.15,
2025-07-14T10:36:00+05:30,304.15,304.15,303.7,303.9,
2025-07-14T10:39:00+05:30,303.8,304.15,303.8,304,
2025-07-14T10:42:00+05:30,304,304.7,304,304.45,
2025-07-14T10:45:00+05:30,304.5,304.55,304.3,304.45,
2025-07-14T10:48:00+05:30,304.5,305.2,304.45,305.1,
2025-07-14T10:51:00+05:30,305.1,305.3,304.8,304.9,
2025-07-14T10:54:00+05:30,305,305.3,304.95,305.2,
2025-07-14T10:57:00+05:30,305.2,305.2,304.95,305.05,
2025-07-14T11:00:00+05:30,305.15,305.9,305.15,305.7,
2025-07-14T11:03:00+05:30,305.7,305.75,305,305,
2025-07-14T11:06:00+05:30,304.9,305,304.2,304.3,
2025-07-14T11:09:00+05:30,304.3,304.75,304.25,304.7,
2025-07-14T11:12:00+05:30,304.65,304.85,304.4,304.85,
2025-07-14T11:15:00+05:30,304.85,304.85,304.3,304.55,
2025-07-14T11:18:00+05:30,304.55,304.55,304.5,304.5,
2025-07-14T11:21:00+05:30,304.5,304.75,304.25,304.6,
2025-07-14T11:24:00+05:30,304.65,304.95,304.5,304.5,
2025-07-14T11:27:00+05:30,304.5,304.55,304.05,304.05,
2025-07-14T11:30:00+05:30,304.2,304.5,304.15,304.4,
2025-07-14T11:33:00+05:30,304.5,305.1,304.45,305,
2025-07-14T11:36:00+05:30,305,305.1,304.55,304.6,
2025-07-14T11:39:00+05:30,304.6,304.6,304.25,304.4,
2025-07-14T11:42:00+05:30,304.4,304.8,304.15,304.7,
2025-07-14T11:45:00+05:30,304.55,304.65,304.35,304.45,
2025-07-14T11:48:00+05:30,304.45,304.65,304.3,304.3,
2025-07-14T11:51:00+05:30,304.45,304.6,304.45,304.55,
2025-07-14T11:54:00+05:30,304.55,304.55,304.25,304.4,
2025-07-14T11:57:00+05:30,304.35,304.45,304.35,304.45,
2025-07-14T12:00:00+05:30,304.45,304.5,304.4,304.5,
2025-07-14T12:03:00+05:30,304.5,305.05,304.45,305.05,
2025-07-14T12:06:00+05:30,305.1,305.1,304.8,304.9,
2025-07-14T12:09:00+05:30,304.95,305.35,304.9,305.25,
2025-07-14T12:12:00+05:30,305.25,305.7,305.2,305.45,
2025-07-14T12:15:00+05:30,305.6,306.2,305.6,305.85,
2025-07-14T12:18:00+05:30,306,306.1,305.95,306.1,
2025-07-14T12:21:00+05:30,306.15,306.15,305.7,305.95,
2025-07-14T12:24:00+05:30,305.95,306.1,305.85,306,
2025-07-14T12:27:00+05:30,306,306.2,306,306.2,
2025-07-14T12:30:00+05:30,306.1,306.25,306,306.05,
2025-07-14T12:33:00+05:30,306,306.1,305.8,305.85,
2025-07-14T12:36:00+05:30,305.85,305.9,305.45,305.6,
2025-07-14T12:39:00+05:30,305.55,305.6,305.4,305.6,
2025-07-14T12:42:00+05:30,305.65,306.3,305.65,306.25,
2025-07-14T12:45:00+05:30,306.25,306.25,305.95,306.05,
2025-07-14T12:48:00+05:30,306,306.05,305.85,305.95,
2025-07-14T12:51:00+05:30,306,306.05,305.8,305.85,
2025-07-14T12:54:00+05:30,305.85,305.85,305.35,305.55,
2025-07-14T12:57:00+05:30,305.55,305.65,305.4,305.55,
2025-07-14T13:00:00+05:30,305.55,305.85,305.5,305.85,
2025-07-14T13:03:00+05:30,305.7,305.95,305.45,305.5,
2025-07-14T13:06:00+05:30,305.45,305.55,304.95,305.05,
2025-07-14T13:09:00+05:30,305.1,305.25,304.8,305.25,
2025-07-14T13:12:00+05:30,305.35,305.45,305.15,305.3,
2025-07-14T13:15:00+05:30,305.3,305.4,304.85,305.35,
2025-07-14T13:18:00+05:30,305.35,305.4,305.25,305.35,
2025-07-14T13:21:00+05:30,305.4,305.6,305.35,305.55,
2025-07-14T13:24:00+05:30,305.6,305.6,305.5,305.55,
