time,open,high,low,close,EMA
2022-03-28T09:15:00+05:30,3396.4,3409.95,3360.05,3382.45,
2022-03-28T09:18:00+05:30,3382,3399.95,3377.2,3399.95,
2022-03-28T09:21:00+05:30,3400,3400,3360,3360,
2022-03-28T09:24:00+05:30,3360,3369.5,3357,3364.25,
2022-03-28T09:27:00+05:30,3358.75,3363.45,3351,3352.55,
2022-03-28T09:30:00+05:30,3352.55,3355.2,3340.55,3347.15,
2022-03-28T09:33:00+05:30,3350.75,3365,3349.6,3355.75,
2022-03-28T09:36:00+05:30,3356.15,3362.85,3348,3348,
2022-03-28T09:39:00+05:30,3352.45,3355,3348,3355,
2022-03-28T09:42:00+05:30,3355,3355,3345.25,3345.25,
2022-03-28T09:45:00+05:30,3345.25,3354.05,3345.25,3354.05,
2022-03-28T09:48:00+05:30,3355.25,3360,3351.55,3351.55,
2022-03-28T09:51:00+05:30,3355,3356.4,3345.05,3350,
2022-03-28T09:54:00+05:30,3345,3348.75,3342.6,3342.6,
2022-03-28T09:57:00+05:30,3348.75,3361.7,3343,3361.7,
2022-03-28T10:00:00+05:30,3365,3375,3365,3373,
2022-03-28T10:03:00+05:30,3368.15,3373.8,3368.15,3372.45,
2022-03-28T10:06:00+05:30,3374.95,3406.85,3374.95,3400.85,
2022-03-28T10:09:00+05:30,3400,3430,3400,3430,
2022-03-28T10:12:00+05:30,3423.2,3430,3422,3429,
2022-03-28T10:15:00+05:30,3428,3440,3411.55,3439.35,
2022-03-28T10:18:00+05:30,3437.05,3484.65,3434.45,3463,
2022-03-28T10:21:00+05:30,3464.95,3519.95,3464.95,3510,
2022-03-28T10:24:00+05:30,3525,3525,3487,3503.95,
2022-03-28T10:27:00+05:30,3502,3510,3466.5,3478.7,
2022-03-28T10:30:00+05:30,3483.1,3486.3,3465.45,3478.5,
2022-03-28T10:33:00+05:30,3476.7,3478,3456.55,3469.5,
2022-03-28T10:36:00+05:30,3470,3483.65,3467.9,3477.5,
2022-03-28T10:39:00+05:30,3476.25,3479.1,3466.05,3475.3,
2022-03-28T10:42:00+05:30,3470.55,3492.7,3464.2,3487.05,
2022-03-28T10:45:00+05:30,3488,3494,3486.25,3486.25,
2022-03-28T10:48:00+05:30,3486.25,3489.1,3474.2,3477.2,
2022-03-28T10:51:00+05:30,3476,3480,3470.15,3474.25,
