Date,Time,Open,High,Low,Close,VWAP
18-Nov-25,09.15,15878,15880,15750,15824,15986.526770752698
18-Nov-25,10.15,15824,15907,15824,15900,15986.010181172966
18-Nov-25,11.15,15895,15962,15895,15914,15985.728068611976
18-Nov-25,12.15,15915,15955,15907,15947,15985.543286053373
18-Nov-25,13.15,15952,15999,15950,15959,15985.428808258404
18-Nov-25,14.15,15960,15960,15910,15935,15985.008623815662
18-Nov-25,15.15,15935,15936,15891,15919,15984.796037764112
19-Nov-25,09.15,15946,15946,15860,15893,15984.441652304558
19-Nov-25,10.15,15893,15907,15747,15770,15983.727833432427
19-Nov-25,11.15,15771,15780,15735,15750,15983.080269873455
19-Nov-25,12.15,15751,15793,15746,15771,15982.3710053702
19-Nov-25,13.15,15772,15777,15722,15770,15981.682986811878
19-Nov-25,14.15,15770,15782,15741,15776,15980.516954917592
19-Nov-25,15.15,15775,15775,15715,15740,15979.954109412904
20-Nov-25,09.15,15766,15766,15618,15708,15978.897668278714
20-Nov-25,10.15,15708,15739,15690,15705,15978.496772464609
20-Nov-25,11.15,15705,15710,15646,15663,15978.040864025395
20-Nov-25,12.15,15664,15698,15645,15697,15977.500798139466
20-Nov-25,13.15,15697,15775,15690,15762,15976.423844560022
20-Nov-25,14.15,15762,15823,15745,15809,15975.215037499504
20-Nov-25,15.15,15809,15822,15781,15822,15974.918627459429
21-Nov-25,09.15,15766,15939,15737,15885,15974.029664918748
21-Nov-25,10.15,15890,15921,15845,15903,15973.78608581111
21-Nov-25,11.15,15903,16011,15870,16000,15973.68070417317
21-Nov-25,12.15,16002,16150,16000,16114,15974.757661938978
21-Nov-25,13.15,16113,16135,16063,16077,15975.367061061015
21-Nov-25,14.15,16077,16101,15976,15977,15975.796557676516
21-Nov-25,15.15,15978,16022,15930,16009,15975.86208339679
24-Nov-25,09.15,16018,16085,15986,16034,15976.123250298826
24-Nov-25,10.15,16034,16050,16013,16036,15976.235411641506
24-Nov-25,11.15,16036,16037,15982,16005,15976.31830809728
24-Nov-25,12.15,16005,16020,15955,16004,15976.37116751032
24-Nov-25,13.15,16004,16037,16000,16000,15976.447365042248
24-Nov-25,14.15,16000,16002,15945,15945,15976.27796464469
24-Nov-25,15.15,15945,15960,15911,15950,15975.78505562583
25-Nov-25,09.15,15994,16042,15940,16024,15975.85301976819
25-Nov-25,10.15,16024,16050,15951,15980,15975.886470104002
25-Nov-25,11.15,15982,16018,15977,15995,15975.924394925594
25-Nov-25,12.15,15996,16015,15961,16005,15975.954521426756
25-Nov-25,13.15,16007,16010,15976,15979,15975.971218300843
25-Nov-25,14.15,15980,15995,15842,15897,15975.61591572316
25-Nov-25,15.15,15898,15950,15875,15880,15975.489837077776
26-Nov-25,09.15,15966,16072,15966,16042,15975.675837849423
26-Nov-25,10.15,16047,16065,15992,16046,15975.804745820711
26-Nov-25,11.15,16046,16107,16031,16100,15976.077537024586
26-Nov-25,12.15,16092,16180,16090,16168,15976.680713557069
26-Nov-25,13.15,16167,16210,16130,16177,15977.51504086447
26-Nov-25,14.15,16178,16184,16127,16172,15978.45070593916
26-Nov-25,15.15,16170,16171,16115,16140,15978.846199697444
27-Nov-25,09.15,16160,16171,16065,16094,15979.325199505074
27-Nov-25,10.15,16100,16164,16074,16095,15979.738715846905
