Symbol,Date,Time,Open,High,Low,Close,EMA,Signal,Qty,TimeChart,TimeEpoch,SignalKey
AMBER,28-Dec-22,11.12,1938.4,1938.4,1936.7,1936.7,1942.7150104369705,SELL,100,2022-12-28 11:12,1672206120,28-Dec-22|11.12|1938.4|1936.7
AMBER,04-Jan-23,15.27,1865.0,1872.85,1865.0,1870.1,1865.601108394716,BUY,100,2023-01-04 15:27,1672826220,04-Jan-23|15.27|1865.0|1870.1
AMBER,06-Jan-23,13.00,1903.2,1903.3,1900.85,1900.85,1905.02257928974,SELL,100,2023-01-06 13:00,1672990200,06-Jan-23|13.00|1903.2|1900.85
AMBER,06-Jan-23,14.48,1907.95,1910.0,1906.1,1910.0,1903.8063932343928,BUY,100,2023-01-06 14:48,1672996680,06-Jan-23|14.48|1907.95|1910.0
AMBER,09-Jan-23,11.51,1897.65,1899.25,1896.05,1896.3,1904.5010675445733,SELL,100,2023-01-09 11:51,1673245260,09-Jan-23|11.51|1897.65|1896.3
AMBER,10-Jan-23,13.48,1885.05,1885.05,1885.05,1885.05,1890.3309652040773,BUY,100,2023-01-10 13:48,1673338680,10-Jan-23|13.48|1885.05|1885.05
AMBER,10-Jan-23,14.36,1883.4,1885.35,1880.2,1880.2,1890.7330479662592,SELL,100,2023-01-10 14:36,1673341560,10-Jan-23|14.36|1883.4|1880.2
AMBER,12-Jan-23,09.24,1890.0,1893.1,1889.6,1892.95,1888.9542611787613,BUY,100,2023-01-12 09:24,1673495640,12-Jan-23|09.24|1890.0|1892.95
AMBER,12-Jan-23,10.39,1888.25,1890.0,1885.0,1885.0,1889.638961070897,SELL,100,2023-01-12 10:39,1673500140,12-Jan-23|10.39|1888.25|1885.0
AMBER,13-Jan-23,12.15,1872.2,1889.9,1872.2,1885.15,1876.742220369018,BUY,100,2023-01-13 12:15,1673592300,13-Jan-23|12.15|1872.2|1885.15
AMBER,13-Jan-23,12.54,1876.1,1876.1,1873.0,1873.0,1876.9419478138136,SELL,100,2023-01-13 12:54,1673594640,13-Jan-23|12.54|1876.1|1873.0
AMBER,19-Jan-23,11.42,1857.95,1863.75,1857.95,1862.85,1860.6320078585188,BUY,100,2023-01-19 11:42,1674108720,19-Jan-23|11.42|1857.95|1862.85
AMBER,19-Jan-23,13.03,1858.25,1859.05,1857.0,1857.0,1862.09217280484,SELL,100,2023-01-19 13:03,1674113580,19-Jan-23|13.03|1858.25|1857.0
AMBER,19-Jan-23,14.45,1859.25,1862.2,1859.25,1862.2,1859.78850796654,BUY,100,2023-01-19 14:45,1674119700,19-Jan-23|14.45|1859.25|1862.2
AMBER,25-Jan-23,15.09,2019.1,2019.1,2004.5,2005.95,2018.8111564451256,SELL,100,2023-01-25 15:09,1674639540,25-Jan-23|15.09|2019.1|2005.95
AMBER,01-Feb-23,09.18,1918.05,1920.9,1915.1,1920.9,1915.438578139456,BUY,100,2023-02-01 09:18,1675223280,01-Feb-23|09.18|1918.05|1920.9
AMBER,01-Feb-23,09.51,1912.7,1912.85,1908.8,1908.8,1915.3004195847168,SELL,100,2023-02-01 09:51,1675225260,01-Feb-23|09.51|1912.7|1908.8
AMBER,02-Feb-23,09.24,1903.95,1916.25,1899.85,1916.25,1904.1642084590185,BUY,100,2023-02-02 09:24,1675310040,02-Feb-23|09.24|1903.95|1916.25
AMBER,02-Feb-23,10.21,1901.0,1901.0,1891.6,1894.8,1906.3054328428195,SELL,100,2023-02-02 10:21,1675313460,02-Feb-23|10.21|1901.0|1894.8
AMBER,06-Feb-23,09.21,1914.15,1920.25,1910.45,1917.75,1898.798924589704,BUY,100,2023-02-06 09:21,1675655460,06-Feb-23|09.21|1914.15|1917.75
AMBER,06-Feb-23,13.42,1903.2,1903.75,1902.0,1902.0,1904.1082122290045,SELL,100,2023-02-06 13:42,1675671120,06-Feb-23|13.42|1903.2|1902.0
AMBER,10-Feb-23,09.24,1892.5,1895.95,1892.5,1895.95,1890.566032729168,BUY,100,2023-02-10 09:24,1676001240,10-Feb-23|09.24|1892.5|1895.95
AMBER,13-Feb-23,10.54,1910.0,1910.0,1899.0,1899.0,1909.104604475596,SELL,100,2023-02-13 10:54,1676265840,13-Feb-23|10.54|1910.0|1899.0
AMBER,14-Feb-23,12.30,1892.2,1898.0,1892.2,1898.0,1893.8789607658368,BUY,100,2023-02-14 12:30,1676358000,14-Feb-23|12.30|1892.2|1898.0
AMBER,14-Feb-23,14.18,1887.0,1887.0,1884.95,1884.95,1893.3251346513512,SELL,100,2023-02-14 14:18,1676364480,14-Feb-23|14.18|1887.0|1884.95
AMBER,16-Feb-23,09.18,1866.3,1869.85,1863.5,1869.85,1866.450892526016,BUY,100,2023-02-16 09:18,1676519280,16-Feb-23|09.18|1866.3|1869.85
AMBER,17-Feb-23,10.48,1871.1,1871.1,1864.0,1864.0,1871.4451748739064,SELL,100,2023-02-17 10:48,1676611080,17-Feb-23|10.48|1871.1|1864.0
AMBER,17-Feb-23,15.18,1868.5,1872.0,1867.5,1871.0,1867.7275138619927,BUY,100,2023-02-17 15:18,1676627280,17-Feb-23|15.18|1868.5|1871.0
AMBER,20-Feb-23,09.21,1868.05,1870.0,1860.85,1862.35,1868.0157088491787,SELL,100,2023-02-20 09:21,1676865060,20-Feb-23|09.21|1868.05|1862.35
AMBER,21-Feb-23,09.24,1862.9,1866.6,1862.65,1866.05,1861.5343769529643,BUY,100,2023-02-21 09:24,1676951640,21-Feb-23|09.24|1862.9|1866.05
AMBER,22-Feb-23,15.21,1895.25,1897.85,1889.0,1892.0,1895.293104354168,SELL,100,2023-02-22 15:21,1677059460,22-Feb-23|15.21|1895.25|1892.0
AMBER,23-Feb-23,11.06,1896.05,1899.8,1896.05,1899.45,1894.713736136236,BUY,100,2023-02-23 11:06,1677130560,23-Feb-23|11.06|1896.05|1899.45
AMBER,23-Feb-23,14.27,1895.15,1896.4,1892.4,1893.4,1896.565034072048,SELL,100,2023-02-23 14:27,1677142620,23-Feb-23|14.27|1895.15|1893.4
AMBER,24-Feb-23,10.30,1895.9,1900.0,1895.1,1900.0,1894.2154895884617,BUY,100,2023-02-24 10:30,1677214800,24-Feb-23|10.30|1895.9|1900.0
AMBER,24-Feb-23,14.12,1895.25,1895.25,1892.1,1892.1,1897.311329034724,SELL,100,2023-02-24 14:12,1677228120,24-Feb-23|14.12|1895.25|1892.1
AMBER,28-Feb-23,10.06,1872.75,1875.95,1872.1,1875.95,1873.0874135569468,BUY,100,2023-02-28 10:06,1677558960,28-Feb-23|10.06|1872.75|1875.95
AMBER,08-Mar-23,14.03,2027.75,2027.95,2026.2,2026.3,2035.258224020504,SELL,100,2023-03-08 14:03,1678264380,08-Mar-23|14.03|2027.75|2026.3
AMBER,10-Mar-23,11.24,2013.85,2021.95,2013.5,2021.0,2015.009110479662,BUY,100,2023-03-10 11:24,1678427640,10-Mar-23|11.24|2013.85|2021.0
AMBER,10-Mar-23,12.36,2009.95,2010.35,2008.3,2008.3,2014.9673120764287,SELL,100,2023-03-10 12:36,1678431960,10-Mar-23|12.36|2009.95|2008.3
AMBER,13-Mar-23,12.42,2000.5,2019.0,2000.5,2012.65,1997.7981308546928,BUY,100,2023-03-13 12:42,1678691520,13-Mar-23|12.42|2000.5|2012.65
AMBER,13-Mar-23,13.36,1986.65,1988.0,1982.05,1982.05,1998.3834047493724,SELL,100,2023-03-13 13:36,1678694760,13-Mar-23|13.36|1986.65|1982.05
AMBER,20-Mar-23,09.45,1919.05,1924.0,1919.0,1923.6,1920.418396128355,BUY,100,2023-03-20 09:45,1679285700,20-Mar-23|09.45|1919.05|1923.6
