Scrip,Sr.No,Date,Time,Trade,Price,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Qty,PL Points,PL Amt,Candle Analysis
Bajfinance,1,30-Dec-22,15.00,S,656.51,30-Dec-22,15.00,656.51,02-Jan-23,13.00,657.6,750,-1.0900000000000318,-817.5000000000239,
Bajfinance,2,02-Jan-23,13.00,B,657.6,02-Jan-23,13.00,657.6,02-Jan-23,14.03,654.71,750,-2.8899999999999864,-2167.49999999999,
Bajfinance,3,02-Jan-23,14.03,S,654.71,02-Jan-23,14.03,654.71,03-Jan-23,09.30,660.74,750,-6.029999999999973,-4522.49999999998,
Bajfinance,4,03-Jan-23,09.30,B,660.74,03-Jan-23,09.30,660.74,03-Jan-23,12.21,657.755,750,-2.9850000000000136,-2238.75000000001,
Bajfinance,5,03-Jan-23,12.21,S,657.755,03-Jan-23,12.21,657.755,03-Jan-23,13.00,660.225,750,-2.4700000000000273,-1852.5000000000205,
Bajfinance,6,03-Jan-23,13.00,B,660.225,03-Jan-23,13.00,660.225,04-Jan-23,09.27,658.5,750,-1.7250000000000227,-1293.750000000017,
Bajfinance,7,04-Jan-23,09.27,S,658.5,04-Jan-23,09.27,658.5,04-Jan-23,13.03,660.5,750,-2.0,-1500.0,
Bajfinance,8,04-Jan-23,13.03,B,660.5,04-Jan-23,13.03,660.5,04-Jan-23,14.24,658.3,750,-2.2000000000000455,-1650.000000000034,
Bajfinance,9,04-Jan-23,14.24,S,658.3,04-Jan-23,14.24,658.3,12-Jan-23,11.33,593.505,750,64.79499999999996,48596.24999999997,
Bajfinance,10,12-Jan-23,11.33,B,593.505,12-Jan-23,11.33,593.505,12-Jan-23,13.21,590.0,750,-3.5049999999999955,-2628.7499999999964,
Bajfinance,11,12-Jan-23,13.21,S,590.0,12-Jan-23,13.21,590.0,13-Jan-23,12.15,592.1,750,-2.1000000000000227,-1575.000000000017,
Bajfinance,12,13-Jan-23,12.15,B,592.1,13-Jan-23,12.15,592.1,17-Jan-23,09.27,596.675,750,4.574999999999932,3431.249999999949,
Bajfinance,13,17-Jan-23,09.27,S,596.675,17-Jan-23,09.27,596.675,17-Jan-23,15.03,598.8,750,-2.125,-1593.75,
Bajfinance,14,17-Jan-23,15.03,B,598.8,17-Jan-23,15.03,598.8,18-Jan-23,12.36,599.08,750,0.2800000000000864,210.0000000000648,
