Scrip,Sr.No,Date,Time,Trade,Price,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Qty,PL Points,PL Amt,Candle Analysis
Eichermot,1,30-Dec-22,15.03,S,3226,30-Dec-22,15.03,3226,04-Jan-23,11.33,3225.45,100,0.55,55,
Eichermot,2,04-Jan-23,11.33,B,3225.45,04-Jan-23,11.33,3225.45,05-Jan-23,13.48,3228.15,100,2.7,270,
Eichermot,3,05-Jan-23,13.48,S,3228.15,05-Jan-23,13.48,3228.15,05-Jan-23,13.57,3248.7,100,-20.55,-2055,
Eichermot,4,05-Jan-23,13.57,B,3248.7,05-Jan-23,13.57,3248.7,09-Jan-23,9.18,3241.2,100,-7.5,-750,
Eichermot,5,09-Jan-23,9.18,S,3241.2,09-Jan-23,9.18,3241.2,09-Jan-23,11.3,3259.45,100,-18.25,-1825,
Eichermot,6,09-Jan-23,11.3,B,3259.45,09-Jan-23,11.3,3259.45,09-Jan-23,13.03,3247.1,100,-12.35,-1235,
Eichermot,7,09-Jan-23,13.03,S,3247.1,09-Jan-23,13.03,3247.1,09-Jan-23,15,3254.5,100,-7.4,-740,
Eichermot,8,09-Jan-23,15,B,3254.5,09-Jan-23,15,3254.5,10-Jan-23,9.21,3236.65,100,-17.85,-1785,
Eichermot,9,10-Jan-23,9.21,S,3236.65,10-Jan-23,9.21,3236.65,11-Jan-23,15.18,3145.75,100,90.9,9090,
Eichermot,10,11-Jan-23,15.18,B,3145.75,11-Jan-23,15.18,3145.75,12-Jan-23,10,3133.25,100,-12.5,-1250,
Eichermot,11,12-Jan-23,10,S,3133.25,12-Jan-23,10,3133.25,13-Jan-23,12.24,3110,100,23.25,2325,
Eichermot,12,13-Jan-23,12.24,B,3110,13-Jan-23,12.24,3110,16-Jan-23,10.27,3129.25,100,19.25,1925,
Eichermot,13,16-Jan-23,10.27,S,3129.25,16-Jan-23,10.27,3129.25,16-Jan-23,13.09,3136,100,-6.75,-675,
Eichermot,14,16-Jan-23,13.09,B,3136,16-Jan-23,13.09,3136,16-Jan-23,13.57,3117.8,100,-18.2,-1820,
Eichermot,15,16-Jan-23,13.57,S,3117.8,16-Jan-23,13.57,3117.8,16-Jan-23,15.27,3147.35,100,-29.55,-2955,
Eichermot,16,16-Jan-23,15.27,B,3147.35,16-Jan-23,15.27,3147.35,18-Jan-23,9.36,3157,100,9.65,965,
Eichermot,17,18-Jan-23,9.36,S,3157,18-Jan-23,9.36,3157,18-Jan-23,10.18,3165.2,100,-8.2,-820,
Eichermot,18,18-Jan-23,10.18,B,3165.2,18-Jan-23,10.18,3165.2,19-Jan-23,9.18,3157.95,100,-7.25,-725,
Eichermot,19,19-Jan-23,9.18,S,3157.95,19-Jan-23,9.18,3157.95,19-Jan-23,13.03,3167.05,100,-9.1,-910,
Eichermot,20,19-Jan-23,13.03,B,3167.05,19-Jan-23,13.03,3167.05,20-Jan-23,12.42,3162,100,-5.05,-505,
Eichermot,21,20-Jan-23,12.42,S,3162,20-Jan-23,12.42,3162,23-Jan-23,9.24,3176,100,-14,-1400,
Eichermot,22,23-Jan-23,9.24,B,3176,23-Jan-23,9.24,3176,24-Jan-23,10.06,3189.1,100,13.1,1310,
Eichermot,23,24-Jan-23,10.06,S,3189.1,24-Jan-23,10.06,3189.1,24-Jan-23,10.57,3204,100,-14.9,-1490,
Eichermot,24,24-Jan-23,10.57,B,3204,24-Jan-23,10.57,3204,25-Jan-23,11.21,3200.4,100,-3.6,-360,
Eichermot,25,25-Jan-23,11.21,S,3200.4,25-Jan-23,11.21,3200.4,25-Jan-23,12.45,3214.35,100,-13.95,-1395,
Eichermot,26,25-Jan-23,12.45,B,3214.35,25-Jan-23,12.45,3214.35,25-Jan-23,14.54,3208,100,-6.35,-635,
Eichermot,27,25-Jan-23,14.54,S,3208,25-Jan-23,14.54,3208,25-Jan-23,15.27,3229.95,100,-21.95,-2195,
