Scrip,Sr.No,Date,Time,Trade,Price,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Qty,PL Points,PL Amt,Candle Analysis
Infy,1,30-Dec-22,13.54,S,1517.5,30-Dec-22,13.54,1517.5,02-Jan-23,12.15,1516.7,400,0.8,320,
Infy,2,02-Jan-23,12.15,B,1516.7,02-Jan-23,12.15,1516.7,03-Jan-23,15.09,1524.05,400,7.35,2940,
Infy,3,03-Jan-23,15.09,S,1524.05,03-Jan-23,15.09,1524.05,09-Jan-23,9.27,1461.95,400,62.1,24840,
Infy,4,09-Jan-23,9.27,B,1461.95,09-Jan-23,9.27,1461.95,10-Jan-23,9.51,1462.9,400,0.95,380,
Infy,5,10-Jan-23,9.51,S,1462.9,10-Jan-23,9.51,1462.9,10-Jan-23,15.27,1471.9,400,-9,-3600,
Infy,6,10-Jan-23,15.27,B,1471.9,10-Jan-23,15.27,1471.9,11-Jan-23,14.06,1473.2,400,1.3,520,
Infy,7,11-Jan-23,14.06,S,1473.2,11-Jan-23,14.06,1473.2,12-Jan-23,12.15,1472.05,400,1.15,460,
Infy,8,12-Jan-23,12.15,B,1472.05,12-Jan-23,12.15,1472.05,12-Jan-23,13.24,1469.15,400,-2.9,-1160,
Infy,9,12-Jan-23,13.24,S,1469.15,12-Jan-23,13.24,1469.15,12-Jan-23,15.03,1480.3,400,-11.15,-4460,
Infy,10,12-Jan-23,15.03,B,1480.3,12-Jan-23,15.03,1480.3,19-Jan-23,9.18,1534,400,53.7,21480,
Infy,11,19-Jan-23,9.18,S,1534,19-Jan-23,9.18,1534,19-Jan-23,11,1542.3,400,-8.3,-3320,
Infy,12,19-Jan-23,11,B,1542.3,19-Jan-23,11,1542.3,19-Jan-23,14.48,1540.15,400,-2.15,-860,
Infy,13,19-Jan-23,14.48,S,1540.15,19-Jan-23,14.48,1540.15,23-Jan-23,9.33,1536.85,400,3.3,1320,
Infy,14,23-Jan-23,9.33,B,1536.85,23-Jan-23,9.33,1536.85,24-Jan-23,15.15,1550.2,400,13.35,5340,
Infy,15,24-Jan-23,15.15,S,1550.2,24-Jan-23,15.15,1550.2,25-Jan-23,12.3,1551.5,400,-1.3,-520,
Infy,16,25-Jan-23,12.3,B,1551.5,25-Jan-23,12.3,1551.5,25-Jan-23,13.06,1545.45,400,-6.05,-2420,
Infy,17,25-Jan-23,13.06,S,1545.45,25-Jan-23,13.06,1545.45,30-Jan-23,11.39,1534.4,400,11.05,4420,
Infy,18,30-Jan-23,11.39,B,1534.4,30-Jan-23,11.39,1534.4,31-Jan-23,9.21,1529.4,400,-5,-2000,
Infy,19,31-Jan-23,9.21,S,1529.4,31-Jan-23,9.21,1529.4,31-Jan-23,13.45,1528.5,400,0.9,360,
Infy,20,31-Jan-23,13.45,B,1528.5,31-Jan-23,13.45,1528.5,01-Feb-23,14.51,1532,400,3.5,1400,
Infy,21,01-Feb-23,14.51,S,1532,01-Feb-23,14.51,1532,01-Feb-23,15,1547.9,400,-15.9,-6360,
Infy,22,01-Feb-23,15,B,1547.9,01-Feb-23,15,1547.9,06-Feb-23,9.18,1576.5,400,28.6,11440,
Infy,23,06-Feb-23,9.18,S,1576.5,06-Feb-23,9.18,1576.5,08-Feb-23,9.54,1584.9,400,-8.4,-3360,
