Scrip,Sr.No,Date,Time,Trade,Price,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Qty,PL Points,PL Amt,Candle Analysis
Jindalstel,1,02-Jan-23,9.18,B,594,02-Jan-23,9.18,594,04-Jan-23,9.18,590.85,625,-3.15,-1968.75,
Jindalstel,2,04-Jan-23,9.18,S,590.85,04-Jan-23,9.18,590.85,05-Jan-23,11.06,592.7,625,-1.85,-1156.25,
Jindalstel,3,05-Jan-23,11.06,B,592.7,05-Jan-23,11.06,592.7,05-Jan-23,12.51,588.05,625,-4.65,-2906.25,
Jindalstel,4,05-Jan-23,12.51,S,588.05,05-Jan-23,12.51,588.05,05-Jan-23,15,591.35,625,-3.3,-2062.5,
Jindalstel,5,05-Jan-23,15,B,591.35,05-Jan-23,15,591.35,06-Jan-23,12.48,591.1,625,-0.25,-156.25,
Jindalstel,6,06-Jan-23,12.48,S,591.1,06-Jan-23,12.48,591.1,06-Jan-23,13.51,593.7,625,-2.6,-1625,
Jindalstel,7,06-Jan-23,13.51,B,593.7,06-Jan-23,13.51,593.7,09-Jan-23,13.39,595.25,625,1.55,968.75,
Jindalstel,8,09-Jan-23,13.39,S,595.25,09-Jan-23,13.39,595.25,09-Jan-23,14.24,598.2,625,-2.95,-1843.75,
Jindalstel,9,09-Jan-23,14.24,B,598.2,09-Jan-23,14.24,598.2,10-Jan-23,11.27,598.25,625,0.05,31.25,
Jindalstel,10,10-Jan-23,11.27,S,598.25,10-Jan-23,11.27,598.25,10-Jan-23,15.09,599.85,625,-1.6,-1000,
Jindalstel,11,10-Jan-23,15.09,B,599.85,10-Jan-23,15.09,599.85,12-Jan-23,9.21,600.7,625,0.85,531.25,
Jindalstel,12,12-Jan-23,9.21,S,600.7,12-Jan-23,9.21,600.7,12-Jan-23,9.54,603.7,625,-3,-1875,
Jindalstel,13,12-Jan-23,9.54,B,603.7,12-Jan-23,9.54,603.7,12-Jan-23,11.09,602.1,625,-1.6,-1000,
Jindalstel,14,12-Jan-23,11.09,S,602.1,12-Jan-23,11.09,602.1,12-Jan-23,15.06,602.7,625,-0.6,-375,
Jindalstel,15,12-Jan-23,15.06,B,602.7,12-Jan-23,15.06,602.7,16-Jan-23,9.18,600.5,625,-2.2,-1375,
Jindalstel,16,16-Jan-23,9.18,S,600.5,16-Jan-23,9.18,600.5,17-Jan-23,15.18,587.45,625,13.05,8156.25,
Jindalstel,17,17-Jan-23,15.18,B,587.45,17-Jan-23,15.18,587.45,20-Jan-23,11.18,602.15,625,14.7,9187.5,
Jindalstel,18,20-Jan-23,11.18,S,602.15,20-Jan-23,11.18,602.15,23-Jan-23,9.18,608.8,625,-6.65,-4156.25,
Jindalstel,19,23-Jan-23,9.18,B,608.8,23-Jan-23,9.18,608.8,23-Jan-23,13.18,604.2,625,-4.6,-2875,
Jindalstel,20,23-Jan-23,13.18,S,604.2,23-Jan-23,13.18,604.2,25-Jan-23,9.39,602.6,625,1.6,1000,
Jindalstel,21,25-Jan-23,9.39,B,602.6,25-Jan-23,9.39,602.6,25-Jan-23,10,598.5,625,-4.1,-2562.5,
Jindalstel,22,25-Jan-23,10,S,598.5,25-Jan-23,10,598.5,25-Jan-23,15.21,598.25,625,0.25,156.25,
Jindalstel,23,25-Jan-23,15.21,B,598.25,25-Jan-23,15.21,598.25,25-Jan-23,15.27,594,625,-4.25,-2656.25,
Jindalstel,24,25-Jan-23,15.27,S,594,25-Jan-23,15.27,594,27-Jan-23,15.27,591,625,3,1875,
Jindalstel,25,27-Jan-23,15.27,B,591,27-Jan-23,15.27,591,30-Jan-23,9.54,586.55,625,-4.45,-2781.25,
Jindalstel,26,30-Jan-23,9.54,S,586.55,30-Jan-23,9.54,586.55,31-Jan-23,9.24,580.25,625,6.3,3937.5,
Jindalstel,27,31-Jan-23,9.24,B,580.25,31-Jan-23,9.24,580.25,01-Feb-23,14.48,593.4,625,13.15,8218.75,
Jindalstel,28,01-Feb-23,14.48,S,593.4,01-Feb-23,14.48,593.4,01-Feb-23,15,606.2,625,-12.8,-8000,
Jindalstel,29,01-Feb-23,15,B,606.2,01-Feb-23,15,606.2,02-Feb-23,9.27,599.25,625,-6.95,-4343.75,
Jindalstel,30,02-Feb-23,9.27,S,599.25,02-Feb-23,9.27,599.25,03-Feb-23,12.03,580.35,625,18.9,11812.5,
Jindalstel,31,03-Feb-23,12.03,B,580.35,03-Feb-23,12.03,580.35,03-Feb-23,12.57,577.5,625,-2.85,-1781.25,
Jindalstel,32,03-Feb-23,12.57,S,577.5,03-Feb-23,12.57,577.5,03-Feb-23,14,580.55,625,-3.05,-1906.25,
Jindalstel,33,03-Feb-23,14,B,580.55,03-Feb-23,14,580.55,06-Feb-23,9.21,575.6,625,-4.95,-3093.75,
Jindalstel,34,06-Feb-23,9.21,S,575.6,06-Feb-23,9.21,575.6,07-Feb-23,12.54,567.4,625,8.2,5125,
Jindalstel,35,07-Feb-23,12.54,B,567.4,07-Feb-23,12.54,567.4,10-Feb-23,9.3,590.2,625,22.8,14250,
Jindalstel,36,10-Feb-23,9.3,S,590.2,10-Feb-23,9.3,590.2,13-Feb-23,9.21,587.65,625,2.55,1593.75,
Jindalstel,37,13-Feb-23,9.21,B,587.65,13-Feb-23,9.21,587.65,13-Feb-23,13,583.5,625,-4.15,-2593.75,
Jindalstel,38,13-Feb-23,13,S,583.5,13-Feb-23,13,583.5,13-Feb-23,14.03,587.2,625,-3.7,-2312.5,
Jindalstel,39,13-Feb-23,14.03,B,587.2,13-Feb-23,14.03,587.2,14-Feb-23,9.33,583.8,625,-3.4,-2125,
Jindalstel,40,14-Feb-23,9.33,S,583.8,14-Feb-23,9.33,583.8,14-Feb-23,12.12,587.2,625,-3.4,-2125,
Jindalstel,41,14-Feb-23,12.12,B,587.2,14-Feb-23,12.12,587.2,15-Feb-23,12.03,589.2,625,2,1250,
Jindalstel,42,15-Feb-23,12.03,S,589.2,15-Feb-23,12.03,589.2,16-Feb-23,9.18,592.15,625,-2.95,-1843.75,
Jindalstel,43,16-Feb-23,9.18,B,592.15,16-Feb-23,9.18,592.15,17-Feb-23,12.42,594.5,625,2.35,1468.75,
Jindalstel,44,17-Feb-23,12.42,S,594.5,17-Feb-23,12.42,594.5,20-Feb-23,10.03,594.5,625,0,0,
Jindalstel,45,20-Feb-23,10.03,B,594.5,20-Feb-23,10.03,594.5,20-Feb-23,13.36,593.9,625,-0.6,-375,
Jindalstel,46,20-Feb-23,13.36,S,593.9,20-Feb-23,13.36,593.9,21-Feb-23,9.18,604.6,625,-10.7,-6687.5,
Jindalstel,47,21-Feb-23,9.18,B,604.6,21-Feb-23,9.18,604.6,21-Feb-23,12.06,596.05,625,-8.55,-5343.75,
Jindalstel,48,21-Feb-23,12.06,S,596.05,21-Feb-23,12.06,596.05,23-Feb-23,9.51,582.35,625,13.7,8562.5,
Jindalstel,49,23-Feb-23,9.51,B,582.35,23-Feb-23,9.51,582.35,23-Feb-23,11.15,579.2,625,-3.15,-1968.75,
Jindalstel,50,23-Feb-23,11.15,S,579.2,23-Feb-23,11.15,579.2,23-Feb-23,15.09,580.55,625,-1.35,-843.75,
Jindalstel,51,23-Feb-23,15.09,B,580.55,23-Feb-23,15.09,580.55,24-Feb-23,9.21,577.05,625,-3.5,-2187.5,
Jindalstel,52,24-Feb-23,9.21,S,577.05,24-Feb-23,9.21,577.05,01-Mar-23,9.18,563.4,625,13.65,8531.25,
Jindalstel,53,01-Mar-23,9.18,B,563.4,01-Mar-23,9.18,563.4,06-Mar-23,9.18,580.2,625,16.8,10500,
Jindalstel,54,06-Mar-23,9.18,S,580.2,06-Mar-23,9.18,580.2,06-Mar-23,9.54,583.55,625,-3.35,-2093.75,
Jindalstel,55,06-Mar-23,9.54,B,583.55,06-Mar-23,9.54,583.55,06-Mar-23,12.27,582.85,625,-0.7,-437.5,
Jindalstel,56,06-Mar-23,12.27,S,582.85,06-Mar-23,12.27,582.85,09-Mar-23,9.21,587.8,625,-4.95,-3093.75,
Jindalstel,57,09-Mar-23,9.21,B,587.8,09-Mar-23,9.21,587.8,09-Mar-23,12.45,577.6,625,-10.2,-6375,
Jindalstel,58,09-Mar-23,12.45,S,577.6,09-Mar-23,12.45,577.6,10-Mar-23,12.57,576,625,1.6,1000,
Jindalstel,59,10-Mar-23,12.57,B,576,10-Mar-23,12.57,576,10-Mar-23,13.21,573.1,625,-2.9,-1812.5,
Jindalstel,60,10-Mar-23,13.21,S,573.1,10-Mar-23,13.21,573.1,10-Mar-23,15.03,576.15,625,-3.05,-1906.25,
Jindalstel,61,10-Mar-23,15.03,B,576.15,10-Mar-23,15.03,576.15,13-Mar-23,14.18,575.1,625,-1.05,-656.25,
Jindalstel,62,13-Mar-23,14.18,S,575.1,13-Mar-23,14.18,575.1,15-Mar-23,9.18,579.6,625,-4.5,-2812.5,
Jindalstel,63,15-Mar-23,9.18,B,579.6,15-Mar-23,9.18,579.6,15-Mar-23,15.12,579.15,625,-0.45,-281.25,
Jindalstel,64,15-Mar-23,15.12,S,579.15,15-Mar-23,15.12,579.15,17-Mar-23,9.36,565.15,625,14,8750,
Jindalstel,65,17-Mar-23,9.36,B,565.15,17-Mar-23,9.36,565.15,20-Mar-23,9.18,561.2,625,-3.95,-2468.75,
Jindalstel,66,20-Mar-23,9.18,S,561.2,20-Mar-23,9.18,561.2,21-Mar-23,14.03,557.95,625,3.25,2031.25,
Jindalstel,67,21-Mar-23,14.03,B,557.95,21-Mar-23,14.03,557.95,22-Mar-23,11.12,558,625,0.05,31.25,
Jindalstel,68,22-Mar-23,11.12,S,558,22-Mar-23,11.12,558,22-Mar-23,11.48,559.7,625,-1.7,-1062.5,
Jindalstel,69,22-Mar-23,11.48,B,559.7,22-Mar-23,11.48,559.7,22-Mar-23,13.15,557.8,625,-1.9,-1187.5,
Jindalstel,70,22-Mar-23,13.15,S,557.8,22-Mar-23,13.15,557.8,23-Mar-23,9.27,560.75,625,-2.95,-1843.75,
Jindalstel,71,23-Mar-23,9.27,B,560.75,23-Mar-23,9.27,560.75,23-Mar-23,14.57,558.85,625,-1.9,-1187.5,
