Symbol,Date,Time,Open,High,Low,Close,EMA,Signal,Qty,TimeChart,TimeEpoch,SignalKey
Kaynes,30-Dec-22,13.48,739.0,742.95,739.0,742.5,740.4299416278428,BUY,100,2022-12-30 13:48,1672388280,30-Dec-22|13.48|739.0|742.5
Kaynes,02-Jan-23,14.15,747.45,747.45,746.0,746.0,747.2242050455375,SELL,100,2023-01-02 14:15,1672649100,02-Jan-23|14.15|747.45|746.0
Kaynes,04-Jan-23,10.30,745.25,749.0,742.55,748.15,743.1661783435096,BUY,100,2023-01-04 10:30,1672808400,04-Jan-23|10.30|745.25|748.15
Kaynes,04-Jan-23,12.09,741.5,741.85,739.0,739.0,743.8434624505161,SELL,100,2023-01-04 12:09,1672814340,04-Jan-23|12.09|741.5|739.0
Kaynes,04-Jan-23,13.03,742.8,745.4,742.8,744.95,743.4228126890956,BUY,100,2023-01-04 13:03,1672817580,04-Jan-23|13.03|742.8|744.95
Kaynes,05-Jan-23,13.30,747.0,747.0,742.0,742.0,747.0022771651871,SELL,100,2023-01-05 13:30,1672905600,05-Jan-23|13.30|747.0|742.0
Kaynes,06-Jan-23,09.24,750.15,753.25,749.4,753.0,746.4958601666953,BUY,100,2023-01-06 09:24,1672977240,06-Jan-23|09.24|750.15|753.0
Kaynes,06-Jan-23,13.27,761.45,762.0,757.5,758.0,759.8125203216139,SELL,100,2023-01-06 13:27,1672991820,06-Jan-23|13.27|761.45|758.0
Kaynes,09-Jan-23,09.21,765.85,770.55,765.3,769.5,759.2398128092696,BUY,100,2023-01-09 09:21,1673236260,09-Jan-23|09.21|765.85|769.5
Kaynes,10-Jan-23,12.51,765.45,765.45,762.55,764.05,769.0568938190762,SELL,100,2023-01-10 12:51,1673335260,10-Jan-23|12.51|765.45|764.05
Kaynes,11-Jan-23,14.00,762.1,764.5,761.0,764.25,762.4633346947991,BUY,100,2023-01-11 14:00,1673425800,11-Jan-23|14.00|762.1|764.25
Kaynes,12-Jan-23,09.45,761.8,761.8,759.2,759.2,762.6095438839894,SELL,100,2023-01-12 09:45,1673496900,12-Jan-23|09.45|761.8|759.2
Kaynes,16-Jan-23,09.27,764.0,769.3,764.0,769.3,759.3224396752622,BUY,100,2023-01-16 09:27,1673841420,16-Jan-23|09.27|764.0|769.3
Kaynes,17-Jan-23,11.12,774.85,774.85,765.0,766.85,773.031991066172,SELL,100,2023-01-17 11:12,1673934120,17-Jan-23|11.12|774.85|766.85
Kaynes,18-Jan-23,09.30,777.0,778.85,776.1,778.5,771.0494947816916,BUY,100,2023-01-18 09:30,1674014400,18-Jan-23|09.30|777.0|778.5
Kaynes,20-Jan-23,12.33,797.5,797.6,795.25,795.6,797.0598963650797,SELL,100,2023-01-20 12:33,1674198180,20-Jan-23|12.33|797.5|795.6
Kaynes,23-Jan-23,11.09,785.95,797.45,785.95,796.2,791.8263700622696,BUY,100,2023-01-23 11:09,1674452340,23-Jan-23|11.09|785.95|796.2
Kaynes,23-Jan-23,11.21,789.0,789.75,786.0,786.0,791.7391679716894,SELL,100,2023-01-23 11:21,1674453060,23-Jan-23|11.21|789.0|786.0
Kaynes,23-Jan-23,14.03,784.45,791.75,784.4,791.05,787.900319646236,BUY,100,2023-01-23 14:03,1674462780,23-Jan-23|14.03|784.45|791.05
Kaynes,24-Jan-23,11.48,793.5,795.0,790.25,791.2,792.7248271142954,SELL,100,2023-01-24 11:48,1674541080,24-Jan-23|11.48|793.5|791.2
Kaynes,24-Jan-23,14.18,791.7,794.9,791.7,794.9,791.5587965675157,BUY,100,2023-01-24 14:18,1674550080,24-Jan-23|14.18|791.7|794.9
Kaynes,24-Jan-23,15.12,792.1,792.95,790.55,790.65,792.0927531727395,SELL,100,2023-01-24 15:12,1674553320,24-Jan-23|15.12|792.1|790.65
Kaynes,27-Jan-23,15.27,766.05,768.8,763.65,768.8,764.7859982711763,BUY,100,2023-01-27 15:27,1674813420,27-Jan-23|15.27|766.05|768.8
Kaynes,30-Jan-23,10.36,765.8,765.8,764.2,764.55,766.1783401115977,SELL,100,2023-01-30 10:36,1675055160,30-Jan-23|10.36|765.8|764.55
Kaynes,30-Jan-23,15.00,764.7,769.1,764.7,767.4,763.5887003176172,BUY,100,2023-01-30 15:00,1675071000,30-Jan-23|15.00|764.7|767.4
Kaynes,31-Jan-23,09.18,760.0,760.7,757.8,758.0,763.8456412621932,SELL,100,2023-01-31 09:18,1675136880,31-Jan-23|09.18|760.0|758.0
Kaynes,31-Jan-23,09.57,765.0,770.0,764.75,768.45,763.2096550137078,BUY,100,2023-01-31 09:57,1675139220,31-Jan-23|09.57|765.0|768.45
Kaynes,03-Feb-23,09.27,812.0,812.0,809.0,810.15,811.6452615972386,SELL,100,2023-02-03 09:27,1675396620,03-Feb-23|09.27|812.0|810.15
Kaynes,03-Feb-23,12.24,811.1,815.0,811.1,813.95,810.5018617423706,BUY,100,2023-02-03 12:24,1675407240,03-Feb-23|12.24|811.1|813.95
Kaynes,08-Feb-23,09.27,889.6,890.05,880.0,883.15,885.6925287855214,SELL,100,2023-02-08 09:27,1675828620,08-Feb-23|09.27|889.6|883.15
Kaynes,08-Feb-23,10.00,885.0,894.6,885.0,893.0,885.0433860538541,BUY,100,2023-02-08 10:00,1675830600,08-Feb-23|10.00|885.0|893.0
Kaynes,08-Feb-23,10.39,887.3,887.35,883.0,883.0,885.9724871470294,SELL,100,2023-02-08 10:39,1675832940,08-Feb-23|10.39|887.3|883.0
Kaynes,08-Feb-23,13.54,886.35,889.05,885.8,889.05,884.479112558784,BUY,100,2023-02-08 13:54,1675844640,08-Feb-23|13.54|886.35|889.05
Kaynes,08-Feb-23,15.03,883.1,883.55,878.1,878.1,884.6127774967098,SELL,100,2023-02-08 15:03,1675848780,08-Feb-23|15.03|883.1|878.1
Kaynes,09-Feb-23,13.09,881.55,887.15,881.55,885.0,880.9892175144034,BUY,100,2023-02-09 13:09,1675928340,09-Feb-23|13.09|881.55|885.0
Kaynes,10-Feb-23,10.18,886.45,886.45,878.5,879.25,883.6451314217381,SELL,100,2023-02-10 10:18,1676004480,10-Feb-23|10.18|886.45|879.25
Kaynes,13-Feb-23,11.06,862.75,877.75,862.0,875.0,860.6144415210254,BUY,100,2023-02-13 11:06,1676266560,13-Feb-23|11.06|862.75|875.0
Kaynes,14-Feb-23,09.36,879.25,879.25,869.45,875.6,880.4127980806663,SELL,100,2023-02-14 09:36,1676347560,14-Feb-23|09.36|879.25|875.6
Kaynes,14-Feb-23,10.51,884.4,889.7,882.95,889.7,879.8580226093139,BUY,100,2023-02-14 10:51,1676352060,14-Feb-23|10.51|884.4|889.7
Kaynes,14-Feb-23,14.27,884.25,884.3,882.35,882.95,884.4629478063074,SELL,100,2023-02-14 14:27,1676365020,14-Feb-23|14.27|884.25|882.95
Kaynes,14-Feb-23,14.54,884.3,887.4,883.7,887.4,884.3651425311318,BUY,100,2023-02-14 14:54,1676366640,14-Feb-23|14.54|884.3|887.4
Kaynes,16-Feb-23,09.27,897.35,897.35,893.0,893.0,896.4901372781396,SELL,100,2023-02-16 09:27,1676519820,16-Feb-23|09.27|897.35|893.0
Kaynes,16-Feb-23,15.09,882.4,888.4,882.4,887.75,882.5908787560288,BUY,100,2023-02-16 15:09,1676540340,16-Feb-23|15.09|882.4|887.75
Kaynes,17-Feb-23,09.54,881.55,881.6,878.95,878.95,882.8593375575894,SELL,100,2023-02-17 09:54,1676607840,17-Feb-23|09.54|881.55|878.95
Kaynes,20-Feb-23,11.51,866.65,869.95,866.0,869.95,867.7606197013189,BUY,100,2023-02-20 11:51,1676874060,20-Feb-23|11.51|866.65|869.95
Kaynes,24-Feb-23,09.57,939.75,939.75,938.05,938.85,940.9052926708704,SELL,100,2023-02-24 09:57,1677212820,24-Feb-23|09.57|939.75|938.85
Kaynes,01-Mar-23,11.39,877.35,884.2,877.3,882.2,876.7808122578695,BUY,100,2023-03-01 11:39,1677650940,01-Mar-23|11.39|877.35|882.2
Kaynes,01-Mar-23,14.36,884.9,885.9,882.2,882.2,885.3234847334859,SELL,100,2023-03-01 14:36,1677661560,01-Mar-23|14.36|884.9|882.2
Kaynes,02-Mar-23,12.36,881.85,883.9,881.85,883.4,880.9712106929654,BUY,100,2023-03-02 12:36,1677740760,02-Mar-23|12.36|881.85|883.4
Kaynes,02-Mar-23,12.51,883.55,884.0,875.05,877.95,881.0910728308374,SELL,100,2023-03-02 12:51,1677741660,02-Mar-23|12.51|883.55|877.95
Kaynes,03-Mar-23,12.15,880.75,882.0,880.2,882.0,879.1148687429271,BUY,100,2023-03-03 12:15,1677825900,03-Mar-23|12.15|880.75|882.0
Kaynes,03-Mar-23,14.09,880.9,881.0,878.5,878.7,880.1760752579478,SELL,100,2023-03-03 14:09,1677832740,03-Mar-23|14.09|880.9|878.7
Kaynes,06-Mar-23,10.15,880.65,885.4,880.0,884.95,879.8090666191947,BUY,100,2023-03-06 10:15,1678077900,06-Mar-23|10.15|880.65|884.95
Kaynes,14-Mar-23,10.03,961.6,961.6,957.0,957.85,963.4991854689152,SELL,100,2023-03-14 10:03,1678768380,14-Mar-23|10.03|961.6|957.85
Kaynes,15-Mar-23,10.00,946.5,954.5,946.5,952.15,943.6538819714876,BUY,100,2023-03-15 10:00,1678854600,15-Mar-23|10.00|946.5|952.15
Kaynes,15-Mar-23,14.21,961.55,961.95,958.15,958.15,961.5429278573224,SELL,100,2023-03-15 14:21,1678870260,15-Mar-23|14.21|961.55|958.15
Kaynes,15-Mar-23,14.33,964.95,966.95,964.35,966.75,961.6219832620568,BUY,100,2023-03-15 14:33,1678870980,15-Mar-23|14.33|964.95|966.75
Kaynes,16-Mar-23,09.21,962.65,962.9,952.85,955.0,963.3891494586044,SELL,100,2023-03-16 09:21,1678938660,16-Mar-23|09.21|962.65|955.0
Kaynes,16-Mar-23,10.18,963.0,968.65,963.0,966.8,962.2971336701264,BUY,100,2023-03-16 10:18,1678942080,16-Mar-23|10.18|963.0|966.8
Kaynes,16-Mar-23,12.15,963.0,963.0,959.45,959.6,964.2261974760834,SELL,100,2023-03-16 12:15,1678949100,16-Mar-23|12.15|963.0|959.6
Kaynes,21-Mar-23,09.21,952.0,960.0,952.0,956.0,947.1703084104042,BUY,100,2023-03-21 09:21,1679370660,21-Mar-23|09.21|952.0|956.0
Kaynes,22-Mar-23,15.21,963.6,964.45,962.5,962.5,963.9742231480612,SELL,100,2023-03-22 15:21,1679478660,22-Mar-23|15.21|963.6|962.5
Kaynes,23-Mar-23,09.21,965.0,967.1,964.0,966.95,963.8216420308888,BUY,100,2023-03-23 09:21,1679543460,23-Mar-23|09.21|965.0|966.95
Kaynes,23-Mar-23,14.00,970.45,970.45,966.0,968.4,970.3513168682668,SELL,100,2023-03-23 14:00,1679560200,23-Mar-23|14.00|970.45|968.4
Kaynes,27-Mar-23,13.33,947.85,952.0,947.0,951.95,949.8339934372128,BUY,100,2023-03-27 13:33,1679904180,27-Mar-23|13.33|947.85|951.95
Kaynes,27-Mar-23,14.51,950.75,950.75,948.0,948.0,950.3313784749218,SELL,100,2023-03-27 14:51,1679908860,27-Mar-23|14.51|950.75|948.0
Kaynes,28-Mar-23,09.24,954.9,958.7,954.9,958.7,950.0851940237166,BUY,100,2023-03-28 09:24,1679975640,28-Mar-23|09.24|954.9|958.7
Kaynes,31-Mar-23,13.12,966.75,967.45,964.9,964.95,967.016111387922,SELL,100,2023-03-31 13:12,1680248520,31-Mar-23|13.12|966.75|964.95
Kaynes,03-Apr-23,12.15,971.0,972.95,971.0,972.95,967.564869344389,BUY,100,2023-04-03 12:15,1680504300,03-Apr-23|12.15|971.0|972.95
Kaynes,05-Apr-23,11.27,997.0,998.5,994.0,994.0,998.090416710892,SELL,100,2023-04-05 11:27,1680674220,05-Apr-23|11.27|997.0|994.0
Kaynes,11-Apr-23,11.03,954.85,965.0,954.25,964.75,955.9710495603292,BUY,100,2023-04-11 11:03,1681191180,11-Apr-23|11.03|954.85|964.75
Kaynes,12-Apr-23,14.27,973.3,974.15,969.05,969.6,972.2516611306548,SELL,100,2023-04-12 14:27,1681289820,12-Apr-23|14.27|973.3|969.6
Kaynes,17-Apr-23,12.36,951.05,952.25,950.0,952.25,950.58382479563,BUY,100,2023-04-17 12:36,1681715160,17-Apr-23|12.36|951.05|952.25
Kaynes,18-Apr-23,14.30,967.5,967.5,963.65,964.0,968.5056197792488,SELL,100,2023-04-18 14:30,1681808400,18-Apr-23|14.30|967.5|964.0
Kaynes,21-Apr-23,11.24,945.9,948.95,945.0,947.95,945.7314309434016,BUY,100,2023-04-21 11:24,1682056440,21-Apr-23|11.24|945.9|947.95
Kaynes,21-Apr-23,12.21,946.45,946.65,945.1,945.1,946.4265012399172,SELL,100,2023-04-21 12:21,1682059860,21-Apr-23|12.21|946.45|945.1
Kaynes,21-Apr-23,14.24,946.85,949.0,945.85,949.0,945.243453983229,BUY,100,2023-04-21 14:24,1682067240,21-Apr-23|14.24|946.85|949.0
Kaynes,25-Apr-23,14.03,961.05,961.65,958.0,958.8,960.9042865124612,SELL,100,2023-04-25 14:03,1682411580,25-Apr-23|14.03|961.05|958.8
Kaynes,26-Apr-23,13.03,964.8,965.75,963.7,965.75,962.6186765736156,BUY,100,2023-04-26 13:03,1682494380,26-Apr-23|13.03|964.8|965.75
Kaynes,28-Apr-23,09.36,973.55,973.55,971.0,971.0,974.5340442410728,SELL,100,2023-04-28 09:36,1682654760,28-Apr-23|09.36|973.55|971.0
Kaynes,28-Apr-23,11.33,974.9,978.0,974.9,978.0,974.7407011359415,BUY,100,2023-04-28 11:33,1682661780,28-Apr-23|11.33|974.9|978.0
Kaynes,03-May-23,13.57,1001.35,1002.45,993.6,995.45,1000.6251976728483,SELL,100,2023-05-03 13:57,1683102420,03-May-23|13.57|1001.35|995.45
Kaynes,03-May-23,14.57,1003.75,1004.0,1001.55,1001.55,999.9938047780043,BUY,100,2023-05-03 14:57,1683106020,03-May-23|14.57|1003.75|1001.55
Kaynes,05-May-23,13.57,1015.3,1015.3,1008.0,1008.0,1015.1810877133076,SELL,100,2023-05-05 13:57,1683275220,05-May-23|13.57|1015.3|1008.0
Kaynes,11-May-23,09.18,980.2,983.2,980.05,982.95,977.0292168160174,BUY,100,2023-05-11 09:18,1683776880,11-May-23|09.18|980.2|982.95
Kaynes,12-May-23,15.24,1020.0,1020.8,1015.05,1017.35,1019.179081380522,SELL,100,2023-05-12 15:24,1683885240,12-May-23|15.24|1020.0|1017.35
Kaynes,17-May-23,09.21,1116.1,1135.8,1112.5,1130.0,1007.6710988991168,BUY,100,2023-05-17 09:21,1684295460,17-May-23|09.21|1116.1|1130.0
Kaynes,18-May-23,13.48,1169.5,1170.0,1145.1,1145.1,1158.9260341493898,SELL,100,2023-05-18 13:48,1684397880,18-May-23|13.48|1169.5|1145.1
Kaynes,19-May-23,09.27,1158.85,1172.0,1158.85,1164.7,1155.2941472154705,BUY,100,2023-05-19 09:27,1684468620,19-May-23|09.27|1158.85|1164.7
Kaynes,19-May-23,14.09,1166.15,1167.15,1157.6,1157.9,1166.8762737478608,SELL,100,2023-05-19 14:09,1684485540,19-May-23|14.09|1166.15|1157.9
Kaynes,19-May-23,15.00,1170.75,1179.0,1168.4,1178.35,1166.2496936117416,BUY,100,2023-05-19 15:00,1684488600,19-May-23|15.00|1170.75|1178.35
Kaynes,23-May-23,14.21,1270.25,1270.25,1261.0,1262.0,1273.0024145687396,SELL,100,2023-05-23 14:21,1684831860,23-May-23|14.21|1270.25|1262.0
