Scrip,Sr.No,Date,Time,Trade,Price,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Qty,PL Points,PL Amt,Candle Analysis
Nationalum,1,30-Dec-22,15.03,S,80.1,30-Dec-22,15.03,80.1,02-Jan-23,9.18,82.2,3750,-2.1,-7875,
Nationalum,2,02-Jan-23,9.18,B,82.2,02-Jan-23,9.18,82.2,04-Jan-23,9.33,81.05,3750,-1.15,-4312.5,
Nationalum,3,04-Jan-23,9.33,S,81.05,04-Jan-23,9.33,81.05,05-Jan-23,9.45,81.7,3750,-0.65,-2437.5,
Nationalum,4,05-Jan-23,9.45,B,81.7,05-Jan-23,9.45,81.7,05-Jan-23,11.51,81.4,3750,-0.3,-1125,
Nationalum,5,05-Jan-23,11.51,S,81.4,05-Jan-23,11.51,81.4,05-Jan-23,15.06,81.6,3750,-0.2,-750,
Nationalum,6,05-Jan-23,15.06,B,81.6,05-Jan-23,15.06,81.6,06-Jan-23,12.39,81.2,3750,-0.4,-1500,
Nationalum,7,06-Jan-23,12.39,S,81.2,06-Jan-23,12.39,81.2,09-Jan-23,11.03,83.75,3750,-2.55,-9562.5,
Nationalum,8,09-Jan-23,11.03,B,83.75,09-Jan-23,11.03,83.75,10-Jan-23,12.54,83.1,3750,-0.65,-2437.5,
Nationalum,9,10-Jan-23,12.54,S,83.1,10-Jan-23,12.54,83.1,10-Jan-23,15.15,83.4,3750,-0.3,-1125,
Nationalum,10,10-Jan-23,15.15,B,83.4,10-Jan-23,15.15,83.4,12-Jan-23,9.27,81.7,3750,-1.7,-6375,
Nationalum,11,12-Jan-23,9.27,S,81.7,12-Jan-23,9.27,81.7,13-Jan-23,9.18,83.75,3750,-2.05,-7687.5,
Nationalum,12,13-Jan-23,9.18,B,83.75,13-Jan-23,9.18,83.75,13-Jan-23,15.18,83.05,3750,-0.7,-2625,
Nationalum,13,13-Jan-23,15.18,S,83.05,13-Jan-23,15.18,83.05,16-Jan-23,10.3,83.9,3750,-0.85,-3187.5,
Nationalum,14,16-Jan-23,10.3,B,83.9,16-Jan-23,10.3,83.9,17-Jan-23,9.21,83.15,3750,-0.75,-2812.5,
