Scrip,Sr.No,Date,Time,Trade,Price,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Qty,PL Points,PL Amt,Candle Analysis
Petronet,1,30-Dec-22,15.12,S,215.1,30-Dec-22,15.12,215.1,02-Jan-23,14.24,214.6,6000,0.5,3000,
Petronet,2,02-Jan-23,14.24,B,214.6,02-Jan-23,14.24,214.6,04-Jan-23,9.39,215.1,6000,0.5,3000,
Petronet,3,04-Jan-23,9.39,S,215.1,04-Jan-23,9.39,215.1,04-Jan-23,10.24,215.75,6000,-0.65,-3900,
Petronet,4,04-Jan-23,10.24,B,215.75,04-Jan-23,10.24,215.75,04-Jan-23,12,215.1,6000,-0.65,-3900,
Petronet,5,04-Jan-23,12,S,215.1,04-Jan-23,12,215.1,04-Jan-23,12.45,216.4,6000,-1.3,-7800,
Petronet,6,04-Jan-23,12.45,B,216.4,04-Jan-23,12.45,216.4,04-Jan-23,15.06,216.3,6000,-0.1,-600,
Petronet,7,04-Jan-23,15.06,S,216.3,04-Jan-23,15.06,216.3,05-Jan-23,9.3,217.95,6000,-1.65,-9900,
Petronet,8,05-Jan-23,9.3,B,217.95,05-Jan-23,9.3,217.95,06-Jan-23,10.27,218.3,6000,0.35,2100,
Petronet,9,06-Jan-23,10.27,S,218.3,06-Jan-23,10.27,218.3,06-Jan-23,11.33,219.35,6000,-1.05,-6300,
Petronet,10,06-Jan-23,11.33,B,219.35,06-Jan-23,11.33,219.35,06-Jan-23,12.33,218.4,6000,-0.95,-5700,
Petronet,11,06-Jan-23,12.33,S,218.4,06-Jan-23,12.33,218.4,09-Jan-23,9.27,220,6000,-1.6,-9600,
Petronet,12,09-Jan-23,9.27,B,220,09-Jan-23,9.27,220,09-Jan-23,10.27,218.1,6000,-1.9,-11400,
Petronet,13,09-Jan-23,10.27,S,218.1,09-Jan-23,10.27,218.1,09-Jan-23,14.42,218.35,6000,-0.25,-1500,
Petronet,14,09-Jan-23,14.42,B,218.35,09-Jan-23,14.42,218.35,10-Jan-23,12.39,218.5,6000,0.15,900,
Petronet,15,10-Jan-23,12.39,S,218.5,10-Jan-23,12.39,218.5,10-Jan-23,14.06,219.3,6000,-0.8,-4800,
Petronet,16,10-Jan-23,14.06,B,219.3,10-Jan-23,14.06,219.3,11-Jan-23,14.15,219.9,6000,0.6,3600,
Petronet,17,11-Jan-23,14.15,S,219.9,11-Jan-23,14.15,219.9,13-Jan-23,9.18,220.05,6000,-0.15,-900,
Petronet,18,13-Jan-23,9.18,B,220.05,13-Jan-23,9.18,220.05,16-Jan-23,9.45,219.9,6000,-0.15,-900,
Petronet,19,16-Jan-23,9.45,S,219.9,16-Jan-23,9.45,219.9,17-Jan-23,9.24,220.3,6000,-0.4,-2400,
Petronet,20,17-Jan-23,9.24,B,220.3,17-Jan-23,9.24,220.3,17-Jan-23,10.54,219.2,6000,-1.1,-6600,
Petronet,21,17-Jan-23,10.54,S,219.2,17-Jan-23,10.54,219.2,17-Jan-23,15,219.75,6000,-0.55,-3300,
Petronet,22,17-Jan-23,15,B,219.75,17-Jan-23,15,219.75,19-Jan-23,10.3,220.65,6000,0.9,5400,
Petronet,23,19-Jan-23,10.3,S,220.65,19-Jan-23,10.3,220.65,19-Jan-23,10.57,221.4,6000,-0.75,-4500,
Petronet,24,19-Jan-23,10.57,B,221.4,19-Jan-23,10.57,221.4,20-Jan-23,15.24,222.45,6000,1.05,6300,
Petronet,25,20-Jan-23,15.24,S,222.45,20-Jan-23,15.24,222.45,23-Jan-23,9.48,223.35,6000,-0.9,-5400,
Petronet,26,23-Jan-23,9.48,B,223.35,23-Jan-23,9.48,223.35,25-Jan-23,10,228,6000,4.65,27900,
Petronet,27,25-Jan-23,10,S,228,25-Jan-23,10,228,27-Jan-23,9.18,227.95,6000,0.05,300,
Petronet,28,27-Jan-23,9.18,B,227.95,27-Jan-23,9.18,227.95,27-Jan-23,9.3,226.55,6000,-1.4,-8400,
Petronet,29,27-Jan-23,9.3,S,226.55,27-Jan-23,9.3,226.55,27-Jan-23,15.06,225.65,6000,0.9,5400,
Petronet,30,27-Jan-23,15.06,B,225.65,27-Jan-23,15.06,225.65,27-Jan-23,15.27,224.45,6000,-1.2,-7200,
Petronet,31,27-Jan-23,15.27,S,224.45,27-Jan-23,15.27,224.45,06-Feb-23,10.39,209.95,6000,14.5,87000,
Petronet,32,06-Feb-23,10.39,B,209.95,06-Feb-23,10.39,209.95,09-Feb-23,14.21,222.75,6000,12.8,76800,
Petronet,33,09-Feb-23,14.21,S,222.75,09-Feb-23,14.21,222.75,10-Feb-23,15.21,222.7,6000,0.05,300,
Petronet,34,10-Feb-23,15.21,B,222.7,10-Feb-23,15.21,222.7,10-Feb-23,15.27,221.75,6000,-0.95,-5700,
Petronet,35,10-Feb-23,15.27,S,221.75,10-Feb-23,15.27,221.75,13-Feb-23,9.18,223.1,6000,-1.35,-8100,
Petronet,36,13-Feb-23,9.18,B,223.1,13-Feb-23,9.18,223.1,13-Feb-23,10.42,221.85,6000,-1.25,-7500,
Petronet,37,13-Feb-23,10.42,S,221.85,13-Feb-23,10.42,221.85,14-Feb-23,12.27,221.25,6000,0.6,3600,
Petronet,38,14-Feb-23,12.27,B,221.25,14-Feb-23,12.27,221.25,14-Feb-23,14.06,220.4,6000,-0.85,-5100,
Petronet,39,14-Feb-23,14.06,S,220.4,14-Feb-23,14.06,220.4,14-Feb-23,14.27,221.15,6000,-0.75,-4500,
Petronet,40,14-Feb-23,14.27,B,221.15,14-Feb-23,14.27,221.15,15-Feb-23,9.57,220.65,6000,-0.5,-3000,
Petronet,41,15-Feb-23,9.57,S,220.65,15-Feb-23,9.57,220.65,15-Feb-23,12.33,221.25,6000,-0.6,-3600,
Petronet,42,15-Feb-23,12.33,B,221.25,15-Feb-23,12.33,221.25,16-Feb-23,10.42,220.85,6000,-0.4,-2400,
Petronet,43,16-Feb-23,10.42,S,220.85,16-Feb-23,10.42,220.85,17-Feb-23,9.42,220.75,6000,0.1,600,
Petronet,44,17-Feb-23,9.42,B,220.75,17-Feb-23,9.42,220.75,17-Feb-23,11,219.65,6000,-1.1,-6600,
Petronet,45,17-Feb-23,11,S,219.65,17-Feb-23,11,219.65,20-Feb-23,12.18,218.95,6000,0.7,4200,
Petronet,46,20-Feb-23,12.18,B,218.95,20-Feb-23,12.18,218.95,20-Feb-23,13.24,218,6000,-0.95,-5700,
Petronet,47,20-Feb-23,13.24,S,218,20-Feb-23,13.24,218,22-Feb-23,11.12,215.3,6000,2.7,16200,
Petronet,48,22-Feb-23,11.12,B,215.3,22-Feb-23,11.12,215.3,27-Feb-23,12.15,220.1,6000,4.8,28800,
Petronet,49,27-Feb-23,12.15,S,220.1,27-Feb-23,12.15,220.1,27-Feb-23,13.3,220.65,6000,-0.55,-3300,
Petronet,50,27-Feb-23,13.3,B,220.65,27-Feb-23,13.3,220.65,28-Feb-23,9.42,220.65,6000,0,0,
Petronet,51,28-Feb-23,9.42,S,220.65,28-Feb-23,9.42,220.65,28-Feb-23,10.03,221.5,6000,-0.85,-5100,
Petronet,52,28-Feb-23,10.03,B,221.5,28-Feb-23,10.03,221.5,01-Mar-23,9.39,222.1,6000,0.6,3600,
Petronet,53,01-Mar-23,9.39,S,222.1,01-Mar-23,9.39,222.1,02-Mar-23,9.18,222.35,6000,-0.25,-1500,
Petronet,54,02-Mar-23,9.18,B,222.35,02-Mar-23,9.18,222.35,02-Mar-23,10.39,221.65,6000,-0.7,-4200,
Petronet,55,02-Mar-23,10.39,S,221.65,02-Mar-23,10.39,221.65,02-Mar-23,13.09,222.1,6000,-0.45,-2700,
Petronet,56,02-Mar-23,13.09,B,222.1,02-Mar-23,13.09,222.1,09-Mar-23,14.48,230.5,6000,8.4,50400,
Petronet,57,09-Mar-23,14.48,S,230.5,09-Mar-23,14.48,230.5,10-Mar-23,13.09,230.55,6000,-0.05,-300,
