Scrip,Sr.No,Date,Time,Trade,Price,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Qty,PL Points,PL Amt,Candle Analysis
Powerindia,1,01-Jan-25,9.21,B,14560,01-Jan-25,9.21,14560,03-Jan-25,12.18,15148.3,50,588.3,29415,
Powerindia,2,03-Jan-25,12.18,S,15148.3,03-Jan-25,12.18,15148.3,14-Jan-25,10.57,13149.9,50,1998.4,99920,
Powerindia,3,14-Jan-25,10.57,B,13149.9,14-Jan-25,10.57,13149.9,15-Jan-25,9.27,13131.3,50,-18.6,-930,
Powerindia,4,15-Jan-25,9.27,S,13131.3,15-Jan-25,9.27,13131.3,16-Jan-25,9.27,13030,50,101.3,5065,
Powerindia,5,16-Jan-25,9.27,B,13030,16-Jan-25,9.27,13030,16-Jan-25,14.51,13071,50,41,2050,
Powerindia,6,16-Jan-25,14.51,S,13071,16-Jan-25,14.51,13071,17-Jan-25,9.51,13135.1,50,-64.1,-3205,
Powerindia,7,17-Jan-25,9.51,B,13135.1,17-Jan-25,9.51,13135.1,17-Jan-25,10.24,13040.45,50,-94.65,-4732.5,
Powerindia,8,17-Jan-25,10.24,S,13040.45,17-Jan-25,10.24,13040.45,20-Jan-25,14.36,12921.75,50,118.7,5935,
Powerindia,9,20-Jan-25,14.36,B,12921.75,20-Jan-25,14.36,12921.75,21-Jan-25,9.51,12855.1,50,-66.65,-3332.5,
Powerindia,10,21-Jan-25,9.51,S,12855.1,21-Jan-25,9.51,12855.1,21-Jan-25,11.45,12979.05,50,-123.95,-6197.5,
Powerindia,11,21-Jan-25,11.45,B,12979.05,21-Jan-25,11.45,12979.05,21-Jan-25,13.18,12820,50,-159.05,-7952.5,
Powerindia,12,21-Jan-25,13.18,S,12820,21-Jan-25,13.18,12820,29-Jan-25,9.21,10092.05,50,2727.95,136397.5,
Powerindia,13,29-Jan-25,9.21,B,10092.05,29-Jan-25,9.21,10092.05,01-Feb-25,12.39,12485.2,50,2393.15,119657.5,
Powerindia,14,01-Feb-25,12.39,S,12485.2,01-Feb-25,12.39,12485.2,04-Feb-25,9.18,12159.8,50,325.4,16270,
Powerindia,15,04-Feb-25,9.18,B,12159.8,04-Feb-25,9.18,12159.8,04-Feb-25,10.57,11780.15,50,-379.65,-18982.5,
Powerindia,16,04-Feb-25,10.57,S,11780.15,04-Feb-25,10.57,11780.15,04-Feb-25,14.18,11828.95,50,-48.8,-2440,
Powerindia,17,04-Feb-25,14.18,B,11828.95,04-Feb-25,14.18,11828.95,05-Feb-25,15.06,11920,50,91.05,4552.5,
Powerindia,18,05-Feb-25,15.06,S,11920,05-Feb-25,15.06,11920,06-Feb-25,9.42,12238.05,50,-318.05,-15902.5,
Powerindia,19,06-Feb-25,9.42,B,12238.05,06-Feb-25,9.42,12238.05,06-Feb-25,13.48,12191,50,-47.05,-2352.5,
Powerindia,20,06-Feb-25,13.48,S,12191,06-Feb-25,13.48,12191,06-Feb-25,14.36,12249.8,50,-58.8,-2940,
Powerindia,21,06-Feb-25,14.36,B,12249.8,06-Feb-25,14.36,12249.8,07-Feb-25,10.39,12212.4,50,-37.4,-1870,
Powerindia,22,07-Feb-25,10.39,S,12212.4,07-Feb-25,10.39,12212.4,07-Feb-25,10.54,12338.5,50,-126.1,-6305,
Powerindia,23,07-Feb-25,10.54,B,12338.5,07-Feb-25,10.54,12338.5,07-Feb-25,13.51,12245.7,50,-92.8,-4640,
Powerindia,24,07-Feb-25,13.51,S,12245.7,07-Feb-25,13.51,12245.7,10-Feb-25,15.09,12291.45,50,-45.75,-2287.5,
Powerindia,25,10-Feb-25,15.09,B,12291.45,10-Feb-25,15.09,12291.45,11-Feb-25,9.18,11874.7,50,-416.75,-20837.5,
Powerindia,26,11-Feb-25,9.18,S,11874.7,11-Feb-25,9.18,11874.7,12-Feb-25,13.21,11707.85,50,166.85,8342.5,
Powerindia,27,12-Feb-25,13.21,B,11707.85,12-Feb-25,13.21,11707.85,13-Feb-25,14.3,11773.6,50,65.75,3287.5,
Powerindia,28,13-Feb-25,14.3,S,11773.6,13-Feb-25,14.3,11773.6,19-Feb-25,9.18,10948.2,50,825.4,41270,
Powerindia,29,19-Feb-25,9.18,B,10948.2,19-Feb-25,9.18,10948.2,19-Feb-25,10.51,10489.45,50,-458.75,-22937.5,
Powerindia,30,19-Feb-25,10.51,S,10489.45,19-Feb-25,10.51,10489.45,20-Feb-25,9.36,10715.7,50,-226.25,-11312.5,
Powerindia,31,20-Feb-25,9.36,B,10715.7,20-Feb-25,9.36,10715.7,20-Feb-25,9.57,10564.6,50,-151.1,-7555,
Powerindia,32,20-Feb-25,9.57,S,10564.6,20-Feb-25,9.57,10564.6,20-Feb-25,10.51,10628.15,50,-63.55,-3177.5,
Powerindia,33,20-Feb-25,10.51,B,10628.15,20-Feb-25,10.51,10628.15,25-Feb-25,11.09,11584.6,50,956.45,47822.5,
Powerindia,34,25-Feb-25,11.09,S,11584.6,25-Feb-25,11.09,11584.6,25-Feb-25,12.39,11686.7,50,-102.1,-5105,
Powerindia,35,25-Feb-25,12.39,B,11686.7,25-Feb-25,12.39,11686.7,27-Feb-25,9.33,11654.65,50,-32.05,-1602.5,
Powerindia,36,27-Feb-25,9.33,S,11654.65,27-Feb-25,9.33,11654.65,27-Feb-25,14.51,11595.1,50,59.55,2977.5,
