time,open,high,low,close,EMA
2025-07-21T09:15:00+05:30,7570,7584,7529,7578.5,
2025-07-21T09:18:00+05:30,7578.5,7583,7561,7578.5,
2025-07-21T09:21:00+05:30,7578.5,7597,7543,7556.5,
2025-07-21T09:24:00+05:30,7556.5,7556.5,7525,7550.5,
2025-07-21T09:27:00+05:30,7551,7571.5,7540,7560,
2025-07-21T09:30:00+05:30,7560,7566,7541.5,7554,
2025-07-21T09:33:00+05:30,7550,7550,7533,7550,
2025-07-21T09:36:00+05:30,7552,7562,7535.5,7535.5,
2025-07-21T09:39:00+05:30,7540,7554.5,7535,7549,
2025-07-21T09:42:00+05:30,7545,7568,7527,7527,
2025-07-21T09:45:00+05:30,7526,7530,7505,7508.5,
2025-07-21T09:48:00+05:30,7508,7510,7495,7508.5,
2025-07-21T09:51:00+05:30,7508.5,7510,7503,7506.5,
2025-07-21T09:54:00+05:30,7510,7510,7505,7510,
2025-07-21T09:57:00+05:30,7509,7510,7504,7507,
2025-07-21T10:00:00+05:30,7505,7510,7502,7507,
2025-07-21T10:03:00+05:30,7505.5,7510,7474,7484.5,
2025-07-21T10:06:00+05:30,7478.5,7491,7478,7490,
2025-07-21T10:09:00+05:30,7487,7491,7485,7487.5,
2025-07-21T10:12:00+05:30,7486.5,7490,7482,7486,
2025-07-21T10:15:00+05:30,7486,7503.5,7484,7500,
2025-07-21T10:18:00+05:30,7498,7510,7497,7510,
2025-07-21T10:21:00+05:30,7510,7510,7500.5,7506,
2025-07-21T10:24:00+05:30,7505.5,7505.5,7486,7499.5,
2025-07-21T10:27:00+05:30,7491.5,7500,7491.5,7493,
2025-07-21T10:30:00+05:30,7493,7499,7493,7499,
2025-07-21T10:33:00+05:30,7498.5,7523,7495,7516.5,
2025-07-21T10:36:00+05:30,7513.5,7514.5,7507,7513,
2025-07-21T10:39:00+05:30,7513.5,7513.5,7509,7510,
2025-07-21T10:42:00+05:30,7510.5,7512.5,7509,7510.5,
2025-07-21T10:45:00+05:30,7512,7518,7510.5,7518,
2025-07-21T10:48:00+05:30,7518,7518,7513,7515,
2025-07-21T10:51:00+05:30,7516,7517,7490.5,7497,
2025-07-21T10:54:00+05:30,7497,7502,7491,7491.5,
2025-07-21T10:57:00+05:30,7492.5,7496.5,7492,7495.5,
2025-07-21T11:00:00+05:30,7492.5,7500,7490.5,7490.5,
2025-07-21T11:03:00+05:30,7492,7495,7490,7490.5,
2025-07-21T11:06:00+05:30,7491,7493,7490,7493,
2025-07-21T11:09:00+05:30,7492,7497.5,7491,7497,
2025-07-21T11:12:00+05:30,7497,7497,7490,7490,
2025-07-21T11:15:00+05:30,7490,7495,7490,7490,
2025-07-21T11:18:00+05:30,7490,7493,7470,7472.5,
2025-07-21T11:21:00+05:30,7472.5,7472.5,7464,7467,
2025-07-21T11:24:00+05:30,7469.5,7496,7469,7495,
2025-07-21T11:27:00+05:30,7497.5,7500,7483.5,7486,
2025-07-21T11:30:00+05:30,7487.5,7489,7483.5,7483.5,
2025-07-21T11:33:00+05:30,7483.5,7485,7483.5,7484,
2025-07-21T11:36:00+05:30,7484.5,7485,7478,7478,
2025-07-21T11:39:00+05:30,7481,7481,7475,7479.5,
2025-07-21T11:42:00+05:30,7480,7481.5,7475,7479.5,
2025-07-21T11:45:00+05:30,7477.5,7480,7470,7470.5,
2025-07-21T11:48:00+05:30,7473.5,7475,7470.5,7475,
2025-07-21T11:51:00+05:30,7475.5,7477.5,7473,7473.5,
2025-07-21T11:54:00+05:30,7472,7475.5,7471.5,7475.5,
2025-07-21T11:57:00+05:30,7475.5,7476,7472,7475,
2025-07-21T12:00:00+05:30,7472,7472,7465,7465.5,
2025-07-21T12:03:00+05:30,7465.5,7467.5,7456,7459.5,
2025-07-21T12:06:00+05:30,7459,7462.5,7458.5,7460,
2025-07-21T12:09:00+05:30,7460,7469.5,7460,7466,
2025-07-21T12:12:00+05:30,7469.5,7475,7469,7475,
2025-07-21T12:15:00+05:30,7475,7475,7474,7475,
2025-07-21T12:18:00+05:30,7474.5,7475,7470.5,7472,
2025-07-21T12:21:00+05:30,7473.5,7475,7461,7462,
2025-07-21T12:24:00+05:30,7462,7465.5,7462,7465,
2025-07-21T12:27:00+05:30,7464.5,7469,7464,7465,
2025-07-21T12:30:00+05:30,7464,7470.5,7463,7463.5,
2025-07-21T12:33:00+05:30,7463.5,7475,7463.5,7466,
2025-07-21T12:36:00+05:30,7466,7467,7461,7461.5,
2025-07-21T12:39:00+05:30,7461.5,7465,7459.5,7460.5,
2025-07-21T12:42:00+05:30,7462,7464,7460,7462,
2025-07-21T12:45:00+05:30,7460.5,7466.5,7460,7461.5,
2025-07-21T12:48:00+05:30,7463.5,7464.5,7460.5,7464,
2025-07-21T12:51:00+05:30,7462,7464,7460,7462,
2025-07-21T12:54:00+05:30,7461,7464,7460,7461,
2025-07-21T12:57:00+05:30,7461,7461.5,7458,7458,
2025-07-21T13:00:00+05:30,7458,7459,7441.5,7441.5,
2025-07-21T13:03:00+05:30,7441,7450,7440.5,7447,
2025-07-21T13:06:00+05:30,7447.5,7450,7447,7449,
2025-07-21T13:09:00+05:30,7449.5,7450,7444.5,7444.5,
2025-07-21T13:12:00+05:30,7445.5,7445.5,7441.5,7444,
2025-07-21T13:15:00+05:30,7442,7450,7442,7450,
2025-07-21T13:18:00+05:30,7449.5,7460,7447,7450,
2025-07-21T13:21:00+05:30,7449.5,7456,7448,7452,
2025-07-21T13:24:00+05:30,7452,7469.5,7451.5,7460.5,
2025-07-21T13:27:00+05:30,7462.5,7464,7460,7460,
2025-07-21T13:30:00+05:30,7461,7462.5,7450,7450,
2025-07-21T13:33:00+05:30,7450,7450,7445,7448,
2025-07-21T13:36:00+05:30,7446.5,7449,7445,7445,
2025-07-21T13:39:00+05:30,7445,7445,7435,7439.5,
2025-07-21T13:42:00+05:30,7438.5,7440,7437,7439.5,
2025-07-21T13:45:00+05:30,7439,7440,7427,7429,
2025-07-21T13:48:00+05:30,7430.5,7430.5,7392,7397,
2025-07-21T13:51:00+05:30,7398,7414,7396,7414,
2025-07-21T13:54:00+05:30,7412.5,7420,7409,7419,
2025-07-21T13:57:00+05:30,7417.5,7425,7410,7414,
2025-07-21T14:00:00+05:30,7414,7424,7414,7423.5,
2025-07-21T14:03:00+05:30,7422.5,7435,7422,7433,
2025-07-21T14:06:00+05:30,7433,7438,7431.5,7438,
2025-07-21T14:09:00+05:30,7437,7445.5,7437,7444,
2025-07-21T14:12:00+05:30,7444,7444.5,7437,7437.5,
2025-07-21T14:15:00+05:30,7439.5,7453.5,7437,7448,
2025-07-21T14:18:00+05:30,7444,7452.5,7440,7443.5,
2025-07-21T14:21:00+05:30,7445,7452.5,7445,7448.5,
2025-07-21T14:24:00+05:30,7447.5,7449.5,7436,7438,
2025-07-21T14:27:00+05:30,7439.5,7445.5,7438,7440,
2025-07-21T14:30:00+05:30,7440,7460,7439,7448,
2025-07-21T14:33:00+05:30,7448,7450.5,7447,7449,
2025-07-21T14:36:00+05:30,7448.5,7448.5,7438.5,7447,
2025-07-21T14:39:00+05:30,7445,7450,7436.5,7449,
2025-07-21T14:42:00+05:30,7448,7453,7445.5,7450,
2025-07-21T14:45:00+05:30,7450,7450,7444,7447,
2025-07-21T14:48:00+05:30,7445,7458.5,7445,7449,
2025-07-21T14:51:00+05:30,7446,7450,7445,7448.5,
2025-07-21T14:54:00+05:30,7446,7460.5,7442.5,7450,
2025-07-21T14:57:00+05:30,7450.5,7480,7450,7466.5,
2025-07-21T15:00:00+05:30,7462.5,7467.5,7445.5,7457.5,
2025-07-21T15:03:00+05:30,7456.5,7475,7455.5,7470,
2025-07-21T15:06:00+05:30,7473,7474.5,7468,7474.5,
2025-07-21T15:09:00+05:30,7470.5,7479.5,7468,7474,
2025-07-21T15:12:00+05:30,7475.5,7477,7468,7469.5,
2025-07-21T15:15:00+05:30,7468,7471,7455,7464.5,
2025-07-21T15:18:00+05:30,7461,7475,7451.5,7474,
2025-07-21T15:21:00+05:30,7470.5,7496,7470.5,7495.5,
2025-07-21T15:24:00+05:30,7495.5,7498,7476,7481,
2025-07-21T15:27:00+05:30,7483,7483,7468,7474,
2025-07-22T09:15:00+05:30,7486,7535.5,7463.5,7521.5,
2025-07-22T09:18:00+05:30,7525,7556.5,7519.5,7539,
2025-07-22T09:21:00+05:30,7540,7545,7515,7524,
2025-07-22T09:24:00+05:30,7518,7532.5,7513,7530.5,
2025-07-22T09:27:00+05:30,7531,7550,7526,7531,
2025-07-22T09:30:00+05:30,7521,7566,7520,7563,
2025-07-22T09:33:00+05:30,7567.5,7573.5,7505.5,7527.5,
