time,open,high,low,close,EMA
2025-07-21T09:15:00+05:30,5627,5627,5580,5593.5,
2025-07-21T09:18:00+05:30,5590,5592,5584,5584,
2025-07-21T09:21:00+05:30,5584,5584,5573,5575,
2025-07-21T09:24:00+05:30,5575,5575,5564.5,5571,
2025-07-21T09:27:00+05:30,5571,5575.5,5564.5,5567,
2025-07-21T09:30:00+05:30,5567,5574,5561,5562,
2025-07-21T09:33:00+05:30,5560,5564.5,5558.5,5564.5,
2025-07-21T09:36:00+05:30,5564.5,5574,5564.5,5568.5,
2025-07-21T09:39:00+05:30,5568,5572,5566,5567.5,
2025-07-21T09:42:00+05:30,5567.5,5581,5567.5,5580.5,
2025-07-21T09:45:00+05:30,5582,5584.5,5578.5,5581.5,
2025-07-21T09:48:00+05:30,5580.5,5586.5,5579,5585.5,
2025-07-21T09:51:00+05:30,5586.5,5590,5584.5,5586.5,
2025-07-21T09:54:00+05:30,5589,5597.5,5589,5593,
2025-07-21T09:57:00+05:30,5593,5596,5590.5,5596,
2025-07-21T10:00:00+05:30,5596,5600,5595.5,5600,
2025-07-21T10:03:00+05:30,5598,5603.5,5598,5600.5,
2025-07-21T10:06:00+05:30,5603,5605,5599,5605,
2025-07-21T10:09:00+05:30,5605,5618,5605,5617.5,
2025-07-21T10:12:00+05:30,5616.5,5618,5612,5613.5,
2025-07-21T10:15:00+05:30,5613.5,5615.5,5607.5,5614.5,
2025-07-21T10:18:00+05:30,5614.5,5617.5,5608.5,5609,
2025-07-21T10:21:00+05:30,5611.5,5611.5,5604,5605.5,
2025-07-21T10:24:00+05:30,5608,5610,5605.5,5609,
2025-07-21T10:27:00+05:30,5607.5,5610,5602,5603.5,
2025-07-21T10:30:00+05:30,5604.5,5608.5,5603.5,5607.5,
2025-07-21T10:33:00+05:30,5608,5609.5,5604,5608,
2025-07-21T10:36:00+05:30,5609,5609,5604.5,5604.5,
2025-07-21T10:39:00+05:30,5603.5,5605,5599.5,5603.5,
2025-07-21T10:42:00+05:30,5603.5,5609,5595,5599.5,
2025-07-21T10:45:00+05:30,5600,5603.5,5597,5597,
2025-07-21T10:48:00+05:30,5597.5,5600,5597,5597,
2025-07-21T10:51:00+05:30,5597.5,5599.5,5591,5594,
2025-07-21T10:54:00+05:30,5594,5600,5592,5597,
2025-07-21T10:57:00+05:30,5598,5600,5596,5596,
2025-07-21T11:00:00+05:30,5597.5,5600,5594.5,5595,
2025-07-21T11:03:00+05:30,5595,5596.5,5591.5,5596.5,
2025-07-21T11:06:00+05:30,5596.5,5599.5,5593.5,5594.5,
2025-07-21T11:09:00+05:30,5595.5,5606.5,5595.5,5603.5,
2025-07-21T11:12:00+05:30,5603.5,5608,5599.5,5607.5,
2025-07-21T11:15:00+05:30,5605.5,5610.5,5602,5602,
2025-07-21T11:18:00+05:30,5599,5601,5592.5,5594.5,
2025-07-21T11:21:00+05:30,5594.5,5600,5594.5,5600,
2025-07-21T11:24:00+05:30,5598,5601.5,5598,5601.5,
2025-07-21T11:27:00+05:30,5601.5,5601.5,5600,5600.5,
2025-07-21T11:30:00+05:30,5601.5,5601.5,5599,5601,
2025-07-21T11:33:00+05:30,5600,5600,5595,5595,
2025-07-21T11:36:00+05:30,5595,5595,5590.5,5591,
2025-07-21T11:39:00+05:30,5591,5591,5590,5590,
2025-07-21T11:42:00+05:30,5591,5591,5575.5,5585,
2025-07-21T11:45:00+05:30,5585,5590,5585,5587.5,
2025-07-21T11:48:00+05:30,5587,5588,5583,5586.5,
2025-07-21T11:51:00+05:30,5588,5590.5,5586.5,5590.5,
2025-07-21T11:54:00+05:30,5590,5590,5583,5583,
2025-07-21T11:57:00+05:30,5581.5,5582.5,5579,5580,
2025-07-21T12:00:00+05:30,5580,5580.5,5579,5580,
