time,open,high,low,close,EMA
2024-12-02T09:15:00+05:30,6001.1,6066.65,5995.35,6051,
2024-12-02T09:18:00+05:30,6054.8,6084,6014,6026.05,
2024-12-02T09:21:00+05:30,6021.5,6030,6015,6025,
2024-12-02T09:24:00+05:30,6022.15,6038.05,6011.6,6019.9,
2024-12-02T09:27:00+05:30,6016.15,6137,6016.15,6125.8,
2024-12-02T09:30:00+05:30,6122.75,6208.55,6121.8,6193.9,
2024-12-02T09:33:00+05:30,6190.35,6234,6181.2,6210,
2024-12-02T09:36:00+05:30,6206.35,6242,6203.95,6235,
2024-12-02T09:39:00+05:30,6235.05,6247.95,6211.05,6220.05,
2024-12-02T09:42:00+05:30,6221.9,6238.7,6190,6197.7,
2024-12-02T09:45:00+05:30,6197.8,6200,6189,6197.8,
2024-12-02T09:48:00+05:30,6199.9,6200,6191.65,6195.6,
2024-12-02T09:51:00+05:30,6192.75,6200,6181.3,6194.1,
2024-12-02T09:54:00+05:30,6193.9,6193.95,6171.05,6189,
2024-12-02T09:57:00+05:30,6188.2,6198.9,6180.95,6195.4,
2024-12-02T10:00:00+05:30,6195.4,6202.35,6192,6192.55,
2024-12-02T10:03:00+05:30,6194.95,6200,6192,6199.75,
2024-12-02T10:06:00+05:30,6198.1,6201.65,6183,6185.4,
2024-12-02T10:09:00+05:30,6187,6193.8,6151,6164,
2024-12-02T10:12:00+05:30,6164,6170.85,6145.2,6154.75,
2024-12-02T10:15:00+05:30,6155.2,6177.7,6155,6174.5,
2024-12-02T10:18:00+05:30,6171.15,6175,6162.7,6173.95,
2024-12-02T10:21:00+05:30,6173.95,6180.05,6171.35,6175.9,
2024-12-02T10:24:00+05:30,6177.5,6179.95,6159.3,6159.3,
2024-12-02T10:27:00+05:30,6159.95,6165.35,6157.2,6164.75,
2024-12-02T10:30:00+05:30,6164.8,6183,6155.35,6165.7,
2024-12-02T10:33:00+05:30,6165.05,6166.3,6156.35,6159.5,
2024-12-02T10:36:00+05:30,6159.5,6159.5,6129.85,6136.5,
2024-12-02T10:39:00+05:30,6140,6144.9,6135.9,6141.9,
2024-12-02T10:42:00+05:30,6144.85,6150,6136.55,6144.85,
2024-12-02T10:45:00+05:30,6147.05,6150.7,6140.05,6150.7,
2024-12-02T10:48:00+05:30,6149.85,6154.95,6143.05,6144.65,
2024-12-02T10:51:00+05:30,6142.45,6170.9,6142,6169.85,
2024-12-02T10:54:00+05:30,6166.7,6168.85,6156.95,6163.15,
2024-12-02T10:57:00+05:30,6164,6169.9,6162,6162.45,
2024-12-02T11:00:00+05:30,6163.4,6166.75,6157,6159,
2024-12-02T11:03:00+05:30,6158.25,6166.95,6148.4,6155,
2024-12-02T11:06:00+05:30,6155,6174,6153.35,6173.15,
2024-12-02T11:09:00+05:30,6170.8,6170.95,6160,6167.2,
2024-12-02T11:12:00+05:30,6164.65,6171,6164.55,6170.5,
2024-12-02T11:15:00+05:30,6173.9,6182.95,6170.5,6179.5,
2024-12-02T11:18:00+05:30,6180.65,6197.9,6179.3,6194,
2024-12-02T11:21:00+05:30,6194.45,6200,6190,6191.05,
2024-12-02T11:24:00+05:30,6190.95,6199.9,6187.4,6194.4,
2024-12-02T11:27:00+05:30,6196.95,6198,6184.55,6190,
2024-12-02T11:30:00+05:30,6190,6200,6188.9,6192.25,
2024-12-02T11:33:00+05:30,6192.25,6193.95,6174.25,6177.8,
2024-12-02T11:36:00+05:30,6177.8,6180,6170.15,6172,
2024-12-02T11:39:00+05:30,6173.9,6173.9,6163,6165,
2024-12-02T11:42:00+05:30,6162,6170,6161.05,6166.75,
2024-12-02T11:45:00+05:30,6169.1,6170,6159.7,6163.8,
2024-12-02T11:48:00+05:30,6162.2,6169.85,6159.7,6160,
2024-12-02T11:51:00+05:30,6160.05,6165.5,6157.85,6165.2,
2024-12-02T11:54:00+05:30,6165.5,6169,6160,6160,
2024-12-02T11:57:00+05:30,6157.75,6165,6156.65,6156.65,
2024-12-02T12:00:00+05:30,6158.2,6160,6153.15,6157.6,
2024-12-02T12:03:00+05:30,6157.6,6163.7,6154.05,6156.25,
2024-12-02T12:06:00+05:30,6159.15,6160,6151.05,6158.8,
2024-12-02T12:09:00+05:30,6159.6,6159.6,6141.2,6147.05,
2024-12-02T12:12:00+05:30,6147.05,6148,6138.35,6147,
2024-12-02T12:15:00+05:30,6147.05,6153.75,6142.05,6148.6,
2024-12-02T12:18:00+05:30,6148.55,6152.35,6144.4,6152.35,
2024-12-02T12:21:00+05:30,6152.35,6165,6152.35,6163.05,
2024-12-02T12:24:00+05:30,6163.05,6169,6163.05,6169,
2024-12-02T12:27:00+05:30,6166.75,6174.7,6166.75,6174,
2024-12-02T12:30:00+05:30,6172.25,6187.85,6172.25,6179.4,
2024-12-02T12:33:00+05:30,6180,6189,6179.85,6187.05,
2024-12-02T12:36:00+05:30,6187.95,6194,6183.75,6189.95,
2024-12-02T12:39:00+05:30,6189.05,6199.7,6182.25,6198.85,
2024-12-02T12:42:00+05:30,6196.3,6210.9,6196,6203,
2024-12-02T12:45:00+05:30,6203,6217.95,6197.9,6211.8,
2024-12-02T12:48:00+05:30,6213.85,6216.25,6190.55,6196,
2024-12-02T12:51:00+05:30,6194.65,6206.7,6188.85,6203.7,
2024-12-02T12:54:00+05:30,6203.7,6205.95,6196.8,6200.95,
2024-12-02T12:57:00+05:30,6204,6204.6,6197.05,6202.7,
2024-12-02T13:00:00+05:30,6203.85,6221.9,6203.45,6215.85,
2024-12-02T13:03:00+05:30,6218.25,6234.75,6210.9,6225,
2024-12-02T13:06:00+05:30,6220.15,6266.6,6220.15,6254.8,
2024-12-02T13:09:00+05:30,6251.25,6270,6245,6252.8,
2024-12-02T13:12:00+05:30,6256.8,6262.05,6239.45,6250,
2024-12-02T13:15:00+05:30,6253,6255.6,6238,6238.25,
2024-12-02T13:18:00+05:30,6238.1,6246.1,6232,6238,
2024-12-02T13:21:00+05:30,6240,6258.9,6237.6,6254.95,
2024-12-02T13:24:00+05:30,6254.95,6258.75,6235,6238,
2024-12-02T13:27:00+05:30,6239.25,6247.9,6236.2,6247.9,
2024-12-02T13:30:00+05:30,6249,6260,6245.6,6251.35,
2024-12-02T13:33:00+05:30,6251.35,6261.95,6243.2,6245.6,
2024-12-02T13:36:00+05:30,6245.65,6252.5,6240,6240.55,
2024-12-02T13:39:00+05:30,6240.55,6252.25,6240.5,6245,
