time,open,high,low,close,EMA
2025-07-21T09:15:00+05:30,5858,5858,5800.5,5824.5,
2025-07-21T09:18:00+05:30,5825,5845,5814,5836.5,
2025-07-21T09:21:00+05:30,5837,5846.5,5829.5,5829.5,
2025-07-21T09:24:00+05:30,5829,5829.5,5800,5815.5,
2025-07-21T09:27:00+05:30,5820,5830,5812.5,5815,
2025-07-21T09:30:00+05:30,5819,5820,5780,5781,
2025-07-21T09:33:00+05:30,5779,5782,5751,5756,
2025-07-21T09:36:00+05:30,5756,5790,5756,5785,
2025-07-21T09:39:00+05:30,5781,5794,5780.5,5791,
2025-07-21T09:42:00+05:30,5789,5804.5,5785.5,5796,
2025-07-21T09:45:00+05:30,5793.5,5794,5786,5793,
2025-07-21T09:48:00+05:30,5792,5815,5791,5797,
2025-07-21T09:51:00+05:30,5797,5806.5,5791,5791,
2025-07-21T09:54:00+05:30,5787.5,5787.5,5780,5782.5,
2025-07-21T09:57:00+05:30,5783,5787,5780,5780.5,
2025-07-21T10:00:00+05:30,5780,5782,5778,5780,
2025-07-21T10:03:00+05:30,5782,5792.5,5780.5,5791.5,
2025-07-21T10:06:00+05:30,5794.5,5798,5777,5777.5,
2025-07-21T10:09:00+05:30,5780,5785.5,5772,5772.5,
2025-07-21T10:12:00+05:30,5774,5776.5,5770,5773,
2025-07-21T10:15:00+05:30,5776,5780,5772.5,5778.5,
2025-07-21T10:18:00+05:30,5778,5799,5776.5,5793,
2025-07-21T10:21:00+05:30,5792.5,5820,5792.5,5815,
2025-07-21T10:24:00+05:30,5814.5,5814.5,5803,5808,
2025-07-21T10:27:00+05:30,5809,5812,5800,5800.5,
2025-07-21T10:30:00+05:30,5800.5,5808,5800,5802.5,
2025-07-21T10:33:00+05:30,5801,5802.5,5793,5797,
2025-07-21T10:36:00+05:30,5798,5798,5790,5792.5,
2025-07-21T10:39:00+05:30,5790.5,5800,5790,5796,
2025-07-21T10:42:00+05:30,5796,5800,5792,5793,
2025-07-21T10:45:00+05:30,5795,5799.5,5792.5,5797,
2025-07-21T10:48:00+05:30,5797,5800,5793,5795,
2025-07-21T10:51:00+05:30,5792.5,5793,5784.5,5787,
2025-07-21T10:54:00+05:30,5787.5,5795,5787,5787,
2025-07-21T10:57:00+05:30,5790,5791,5787,5787.5,
2025-07-21T11:00:00+05:30,5787,5793.5,5787,5789.5,
2025-07-21T11:03:00+05:30,5789.5,5791,5787.5,5791,
2025-07-21T11:06:00+05:30,5787.5,5821.5,5787.5,5821,
2025-07-21T11:09:00+05:30,5820.5,5820.5,5807.5,5814,
2025-07-21T11:12:00+05:30,5814,5815,5812,5812,
2025-07-21T11:15:00+05:30,5812.5,5815,5810,5813,
2025-07-21T11:18:00+05:30,5812,5816.5,5811,5816.5,
2025-07-21T11:21:00+05:30,5815.5,5820,5811.5,5813,
2025-07-21T11:24:00+05:30,5815.5,5819,5814,5818,
2025-07-21T11:27:00+05:30,5822,5827,5822,5825.5,
2025-07-21T11:30:00+05:30,5826,5832,5820.5,5820.5,
2025-07-21T11:33:00+05:30,5820.5,5829.5,5820,5829.5,
2025-07-21T11:36:00+05:30,5830,5830,5824,5824,
2025-07-21T11:39:00+05:30,5826,5841,5822.5,5840,
2025-07-21T11:42:00+05:30,5841.5,5842.5,5835,5840,
2025-07-21T11:45:00+05:30,5843,5860,5830,5830,
2025-07-21T11:48:00+05:30,5829.5,5840,5829.5,5832,
2025-07-21T11:51:00+05:30,5835,5838,5831.5,5837.5,
2025-07-21T11:54:00+05:30,5837.5,5849,5837.5,5844,
2025-07-21T11:57:00+05:30,5846,5850,5844,5849,
2025-07-21T12:00:00+05:30,5849,5850,5844.5,5844.5,
2025-07-21T12:03:00+05:30,5845,5856.5,5845,5856.5,
2025-07-21T12:06:00+05:30,5857,5865,5853.5,5864.5,
2025-07-21T12:09:00+05:30,5866,5872,5862.5,5863,
2025-07-21T12:12:00+05:30,5865,5868.5,5863,5867,
2025-07-21T12:15:00+05:30,5866.5,5870,5858,5858,
2025-07-21T12:18:00+05:30,5859.5,5866.5,5857.5,5863.5,
2025-07-21T12:21:00+05:30,5866.5,5869,5863.5,5866,
2025-07-21T12:24:00+05:30,5867.5,5867.5,5860.5,5862,
2025-07-21T12:27:00+05:30,5864,5864,5855,5855.5,
2025-07-21T12:30:00+05:30,5856.5,5864,5856.5,5860,
2025-07-21T12:33:00+05:30,5860,5860,5856,5858.5,
2025-07-21T12:36:00+05:30,5858.5,5865,5858,5865,
2025-07-21T12:39:00+05:30,5865,5870,5863,5867.5,
2025-07-21T12:42:00+05:30,5867.5,5871.5,5864.5,5868.5,
2025-07-21T12:45:00+05:30,5868.5,5868.5,5861.5,5861.5,
2025-07-21T12:48:00+05:30,5863.5,5863.5,5848,5857,
2025-07-21T12:51:00+05:30,5854.5,5859,5854.5,5857.5,
2025-07-21T12:54:00+05:30,5859,5865,5855,5864.5,
2025-07-21T12:57:00+05:30,5862,5867,5862,5862.5,
2025-07-21T13:00:00+05:30,5863,5866,5862,5863.5,
2025-07-21T13:03:00+05:30,5864,5868,5863.5,5868,
2025-07-21T13:06:00+05:30,5868,5887.5,5867,5879.5,
2025-07-21T13:09:00+05:30,5883,5883,5870,5870.5,
