time,open,high,low,close,VWAP
2025-11-18T09:15:00+05:30,15878,15880,15750,15824,15986.526770752698
2025-11-18T10:15:00+05:30,15824,15907,15824,15900,15986.010181172966
2025-11-18T11:15:00+05:30,15895,15962,15895,15914,15985.728068611976
2025-11-18T12:15:00+05:30,15915,15955,15907,15947,15985.543286053373
2025-11-18T13:15:00+05:30,15952,15999,15950,15959,15985.428808258404
2025-11-18T14:15:00+05:30,15960,15960,15910,15935,15985.008623815662
2025-11-18T15:15:00+05:30,15935,15936,15891,15919,15984.796037764112
2025-11-19T09:15:00+05:30,15946,15946,15860,15893,15984.441652304558
2025-11-19T10:15:00+05:30,15893,15907,15747,15770,15983.727833432427
2025-11-19T11:15:00+05:30,15771,15780,15735,15750,15983.080269873457
2025-11-19T12:15:00+05:30,15751,15793,15746,15771,15982.3710053702
2025-11-19T13:15:00+05:30,15772,15777,15722,15770,15981.682986811878
2025-11-19T14:15:00+05:30,15770,15782,15741,15776,15980.516954917593
2025-11-19T15:15:00+05:30,15775,15775,15715,15740,15979.954109412904
2025-11-20T09:15:00+05:30,15766,15766,15618,15708,15978.897668278714
2025-11-20T10:15:00+05:30,15708,15739,15690,15705,15978.496772464607
2025-11-20T11:15:00+05:30,15705,15710,15646,15663,15978.040864025397
2025-11-20T12:15:00+05:30,15664,15698,15645,15697,15977.500798139466
2025-11-20T13:15:00+05:30,15697,15775,15690,15762,15976.423844560022
2025-11-20T14:15:00+05:30,15762,15823,15745,15809,15975.215037499504
2025-11-20T15:15:00+05:30,15809,15822,15781,15822,15974.918627459429
2025-11-21T09:15:00+05:30,15766,15939,15737,15885,15974.029664918748
2025-11-21T10:15:00+05:30,15890,15921,15845,15903,15973.78608581111
2025-11-21T11:15:00+05:30,15903,16011,15870,16000,15973.68070417317
2025-11-21T12:15:00+05:30,16002,16150,16000,16114,15974.757661938978
2025-11-21T13:15:00+05:30,16113,16135,16063,16077,15975.367061061015
2025-11-21T14:15:00+05:30,16077,16101,15976,15977,15975.796557676516
2025-11-21T15:15:00+05:30,15978,16022,15930,16009,15975.86208339679
2025-11-24T09:15:00+05:30,16018,16085,15986,16034,15976.123250298826
2025-11-24T10:15:00+05:30,16034,16050,16013,16036,15976.235411641506
2025-11-24T11:15:00+05:30,16036,16037,15982,16005,15976.318308097281
2025-11-24T12:15:00+05:30,16005,16020,15955,16004,15976.371167510319
2025-11-24T13:15:00+05:30,16004,16037,16000,16000,15976.447365042248
2025-11-24T14:15:00+05:30,16000,16002,15945,15945,15976.27796464469
2025-11-24T15:15:00+05:30,15945,15960,15911,15950,15975.78505562583
2025-11-25T09:15:00+05:30,15994,16042,15940,16024,15975.85301976819
2025-11-25T10:15:00+05:30,16024,16050,15951,15980,15975.886470104002
2025-11-25T11:15:00+05:30,15982,16018,15977,15995,15975.924394925594
2025-11-25T12:15:00+05:30,15996,16015,15961,16005,15975.954521426755
2025-11-25T13:15:00+05:30,16007,16010,15976,15979,15975.971218300843
2025-11-25T14:15:00+05:30,15980,15995,15842,15897,15975.615915723161
2025-11-25T15:15:00+05:30,15898,15950,15875,15880,15975.489837077776
2025-11-26T09:15:00+05:30,15966,16072,15966,16042,15975.675837849425
2025-11-26T10:15:00+05:30,16047,16065,15992,16046,15975.804745820713
2025-11-26T11:15:00+05:30,16046,16107,16031,16100,15976.077537024586
2025-11-26T12:15:00+05:30,16092,16180,16090,16168,15976.680713557067
2025-11-26T13:15:00+05:30,16167,16210,16130,16177,15977.51504086447
2025-11-26T14:15:00+05:30,16178,16184,16127,16172,15978.45070593916
2025-11-26T15:15:00+05:30,16170,16171,16115,16140,15978.846199697444
2025-11-27T09:15:00+05:30,16160,16171,16065,16094,15979.325199505074
2025-11-27T10:15:00+05:30,16100,16164,16074,16095,15979.738715846903
2025-11-27T11:15:00+05:30,16091,16115,16025,16040,15979.96133740058
2025-11-27T12:15:00+05:30,16041,16047,15899,15901,15979.815942001029
2025-11-27T13:15:00+05:30,15901,15982,15885,15975,15979.699391119711
2025-11-27T14:15:00+05:30,15976,15979,15875,15904,15979.385746734593
2025-11-27T15:15:00+05:30,15905,15917,15892,15912,15979.240020606692
2025-11-28T09:15:00+05:30,15912,15978,15888,15960,15979.069148903007
2025-11-28T10:15:00+05:30,15958,16049,15950,16009,15979.14518067899
2025-11-28T11:15:00+05:30,16010,16010,15901,15945,15979.05842944744
2025-11-28T12:15:00+05:30,15942,15970,15896,15911,15978.831263408923
2025-11-28T13:15:00+05:30,15916,15926,15850,15890,15978.575472013184
2025-11-28T14:15:00+05:30,15891,15929,15876,15902,15978.232193819002
2025-11-28T15:15:00+05:30,15903,15904,15882,15890,15977.997090569399
2025-12-01T09:15:00+05:30,15971,16084,15875,16001,15978.065860112996
2025-12-01T10:15:00+05:30,16000,16009,15905,15922,15977.993959291782
2025-12-01T11:15:00+05:30,15920,15930,15851,15890,15977.846904332633
