time,open,high,low,close,EMA
2024-12-02T09:15:00+05:30,242.4,244.84,241.43,243.85,
2024-12-02T09:18:00+05:30,243.9,246,243.79,244.58,
2024-12-02T09:21:00+05:30,244.58,244.91,243.84,244.36,
2024-12-02T09:24:00+05:30,244.56,244.57,243.65,243.74,
2024-12-02T09:27:00+05:30,243.53,244.45,242.62,242.93,
2024-12-02T09:30:00+05:30,242.73,243.44,242.17,242.28,
2024-12-02T09:33:00+05:30,242.15,243,241.75,242.41,
2024-12-02T09:36:00+05:30,242.48,242.64,241.55,242.04,
2024-12-02T09:39:00+05:30,242.17,242.99,242,242.81,
2024-12-02T09:42:00+05:30,242.81,242.88,242.14,242.54,
2024-12-02T09:45:00+05:30,242.54,242.88,242.15,242.2,
2024-12-02T09:48:00+05:30,242.32,242.99,242.23,242.8,
2024-12-02T09:51:00+05:30,242.79,242.9,242.6,242.75,
2024-12-02T09:54:00+05:30,242.75,242.8,242.21,242.68,
2024-12-02T09:57:00+05:30,242.75,242.87,242.61,242.8,
2024-12-02T10:00:00+05:30,242.71,242.88,242.54,242.65,
2024-12-02T10:03:00+05:30,242.61,243.34,242.61,243,
2024-12-02T10:06:00+05:30,243,243,242.03,242.12,
2024-12-02T10:09:00+05:30,242.1,242.1,241.56,241.56,
2024-12-02T10:12:00+05:30,241.6,242.12,241.25,242.05,
2024-12-02T10:15:00+05:30,242.02,242.39,241.77,241.96,
2024-12-02T10:18:00+05:30,241.96,242.11,241.86,241.86,
2024-12-02T10:21:00+05:30,241.85,241.85,241.48,241.8,
2024-12-02T10:24:00+05:30,241.9,242.09,241.84,241.86,
2024-12-02T10:27:00+05:30,241.86,242.64,241.86,242.59,
2024-12-02T10:30:00+05:30,242.55,242.95,242.55,242.95,
2024-12-02T10:33:00+05:30,242.94,243.15,241.86,241.97,
2024-12-02T10:36:00+05:30,241.97,241.99,241.1,241.1,
2024-12-02T10:39:00+05:30,241.1,241.11,240.5,240.62,
2024-12-02T10:42:00+05:30,240.69,240.76,240.45,240.75,
2024-12-02T10:45:00+05:30,240.7,240.76,240.15,240.36,
2024-12-02T10:48:00+05:30,240.38,241.29,240.38,241.19,
2024-12-02T10:51:00+05:30,241.07,241.72,240.96,241.72,
2024-12-02T10:54:00+05:30,241.66,241.66,241.17,241.3,
2024-12-02T10:57:00+05:30,241.31,241.39,241,241.3,
2024-12-02T11:00:00+05:30,241.21,241.34,241,241.04,
2024-12-02T11:03:00+05:30,241.05,241.3,241.05,241.27,
2024-12-02T11:06:00+05:30,241.11,241.45,240.98,241.45,
2024-12-02T11:09:00+05:30,241.44,241.5,241.02,241.17,
2024-12-02T11:12:00+05:30,241.24,241.38,241.22,241.31,
2024-12-02T11:15:00+05:30,241.34,241.45,241.2,241.45,
2024-12-02T11:18:00+05:30,241.5,241.7,241.41,241.62,
2024-12-02T11:21:00+05:30,241.59,241.7,241.15,241.25,
2024-12-02T11:24:00+05:30,241.33,241.5,241.3,241.43,
2024-12-02T11:27:00+05:30,241.44,241.57,241.36,241.44,
2024-12-02T11:30:00+05:30,241.43,241.69,241.29,241.29,
2024-12-02T11:33:00+05:30,241.29,241.3,241,241.04,
2024-12-02T11:36:00+05:30,240.99,241.11,240.72,240.72,
2024-12-02T11:39:00+05:30,240.72,240.85,240.68,240.71,
2024-12-02T11:42:00+05:30,240.71,241.13,240.71,241.03,
2024-12-02T11:45:00+05:30,241.14,241.25,240.77,241,
2024-12-02T11:48:00+05:30,241,241,240.45,240.47,
2024-12-02T11:51:00+05:30,240.42,241,240.42,240.79,
2024-12-02T11:54:00+05:30,240.77,240.96,240.68,240.82,
2024-12-02T11:57:00+05:30,240.82,241.1,240.78,241.08,
2024-12-02T12:00:00+05:30,241.03,241.35,240.98,241.31,
2024-12-02T12:03:00+05:30,241.21,241.9,241.18,241.18,
2024-12-02T12:06:00+05:30,241.13,241.38,241.02,241.3,
2024-12-02T12:09:00+05:30,241.28,241.5,241.21,241.24,
2024-12-02T12:12:00+05:30,241.23,241.5,241.1,241.31,
2024-12-02T12:15:00+05:30,241.23,241.4,241.2,241.2,
2024-12-02T12:18:00+05:30,241.24,241.48,241.21,241.36,
2024-12-02T12:21:00+05:30,241.39,241.7,241.22,241.65,
2024-12-02T12:24:00+05:30,241.69,241.8,241.38,241.68,
2024-12-02T12:27:00+05:30,241.7,241.7,241.13,241.7,
2024-12-02T12:30:00+05:30,241.75,241.75,241.3,241.45,
2024-12-02T12:33:00+05:30,241.5,241.63,241.36,241.6,
