time,open,high,low,close,EMA
2025-07-21T09:15:00+05:30,191.2,194.25,190.43,193.97,
2025-07-21T09:18:00+05:30,193.95,194.8,193.4,193.4,
2025-07-21T09:21:00+05:30,193.46,194.19,193.2,193.3,
2025-07-21T09:24:00+05:30,193.23,193.3,192.5,192.85,
2025-07-21T09:27:00+05:30,192.75,193.75,192.75,193.52,
2025-07-21T09:30:00+05:30,193.52,193.81,192.9,192.9,
2025-07-21T09:33:00+05:30,193,193.14,192.64,192.83,
2025-07-21T09:36:00+05:30,192.91,193.95,192.85,193.57,
2025-07-21T09:39:00+05:30,193.49,194.19,193.45,193.7,
2025-07-21T09:42:00+05:30,193.61,194,193.46,193.83,
2025-07-21T09:45:00+05:30,193.85,194.1,193.58,193.75,
2025-07-21T09:48:00+05:30,193.72,194,193.62,193.9,
2025-07-21T09:51:00+05:30,193.9,194.32,193.8,194.32,
2025-07-21T09:54:00+05:30,194.35,194.41,193.81,193.99,
2025-07-21T09:57:00+05:30,193.95,193.95,193.17,193.17,
2025-07-21T10:00:00+05:30,193.14,194.06,193.14,193.99,
2025-07-21T10:03:00+05:30,193.95,194.1,193.65,193.73,
2025-07-21T10:06:00+05:30,193.7,194,193.61,193.95,
2025-07-21T10:09:00+05:30,193.95,194.29,193.9,193.99,
2025-07-21T10:12:00+05:30,193.99,194,193.72,193.78,
2025-07-21T10:15:00+05:30,193.86,193.94,193.52,193.59,
2025-07-21T10:18:00+05:30,193.55,194.4,193.51,194.3,
2025-07-21T10:21:00+05:30,194.3,194.95,194.3,194.9,
2025-07-21T10:24:00+05:30,194.85,194.91,194.56,194.65,
2025-07-21T10:27:00+05:30,194.67,195,194.41,194.72,
2025-07-21T10:30:00+05:30,194.7,195.25,194.7,195.19,
2025-07-21T10:33:00+05:30,195.19,195.37,195.01,195.35,
2025-07-21T10:36:00+05:30,195.3,195.4,194.95,195.3,
2025-07-21T10:39:00+05:30,195.27,195.48,195.06,195.1,
2025-07-21T10:42:00+05:30,195.12,195.39,195,195.01,
2025-07-21T10:45:00+05:30,195,195.1,194.73,194.87,
2025-07-21T10:48:00+05:30,194.81,195,194.81,194.88,
2025-07-21T10:51:00+05:30,194.85,194.9,194.55,194.8,
2025-07-21T10:54:00+05:30,194.72,195.04,194.71,194.97,
2025-07-21T10:57:00+05:30,194.97,195.2,194.91,195.06,
2025-07-21T11:00:00+05:30,195.09,195.45,195.09,195.18,
2025-07-21T11:03:00+05:30,195.26,195.4,195.08,195.3,
2025-07-21T11:06:00+05:30,195.25,195.5,195.16,195.48,
2025-07-21T11:09:00+05:30,195.4,195.7,195.3,195.55,
2025-07-21T11:12:00+05:30,195.49,195.61,195.32,195.55,
2025-07-21T11:15:00+05:30,195.55,195.6,195.15,195.3,
2025-07-21T11:18:00+05:30,195.3,195.9,195.24,195.87,
2025-07-21T11:21:00+05:30,195.85,196,195.63,195.85,
2025-07-21T11:24:00+05:30,195.84,195.84,195.4,195.4,
2025-07-21T11:27:00+05:30,195.47,195.5,195.3,195.3,
2025-07-21T11:30:00+05:30,195.33,195.33,195.1,195.25,
2025-07-21T11:33:00+05:30,195.2,195.22,194.85,194.86,
2025-07-21T11:36:00+05:30,194.85,194.94,194.69,194.85,
2025-07-21T11:39:00+05:30,194.85,194.97,194.67,194.94,
2025-07-21T11:42:00+05:30,194.85,195.06,194.76,194.99,
2025-07-21T11:45:00+05:30,194.92,195.1,194.88,194.88,
2025-07-21T11:48:00+05:30,194.92,195.25,194.75,195.15,
2025-07-21T11:51:00+05:30,195.18,195.19,195,195.08,
2025-07-21T11:54:00+05:30,195.1,195.16,194.92,194.99,
2025-07-21T11:57:00+05:30,194.95,195.04,194.9,194.94,
2025-07-21T12:00:00+05:30,194.96,195.02,194.85,194.92,
2025-07-21T12:03:00+05:30,194.86,194.92,194.72,194.75,
2025-07-21T12:06:00+05:30,194.81,194.86,194.32,194.44,
2025-07-21T12:09:00+05:30,194.4,194.57,194.33,194.4,
2025-07-21T12:12:00+05:30,194.35,195,194.1,194.61,
2025-07-21T12:15:00+05:30,194.62,194.9,194.52,194.84,
2025-07-21T12:18:00+05:30,194.87,194.87,194.75,194.85,
2025-07-21T12:21:00+05:30,194.8,194.85,194.79,194.84,
2025-07-21T12:24:00+05:30,194.84,195.15,194.79,195.09,
2025-07-21T12:27:00+05:30,195.14,195.14,195,195.04,
2025-07-21T12:30:00+05:30,195.03,195.1,194.81,194.89,
2025-07-21T12:33:00+05:30,194.89,194.95,194.82,194.95,
2025-07-21T12:36:00+05:30,194.95,195,194.95,194.99,
2025-07-21T12:39:00+05:30,194.99,195.15,194.94,195.15,
2025-07-21T12:42:00+05:30,195.15,195.19,195.05,195.09,
2025-07-21T12:45:00+05:30,195.17,195.66,195.14,195.43,
2025-07-21T12:48:00+05:30,195.48,195.5,195.21,195.39,
2025-07-21T12:51:00+05:30,195.35,195.35,194.86,194.86,
2025-07-21T12:54:00+05:30,194.86,195,194.81,194.99,
2025-07-21T12:57:00+05:30,194.95,195.4,194.91,195.4,
2025-07-21T13:00:00+05:30,195.4,195.49,195.26,195.28,
2025-07-21T13:03:00+05:30,195.35,195.37,195.24,195.29,
2025-07-21T13:06:00+05:30,195.29,195.37,195.25,195.37,
2025-07-21T13:09:00+05:30,195.4,195.4,195.26,195.35,
2025-07-21T13:12:00+05:30,195.35,195.35,195.23,195.3,
2025-07-21T13:15:00+05:30,195.3,195.3,194.86,194.9,
2025-07-21T13:18:00+05:30,194.86,195,194.86,195,
2025-07-21T13:21:00+05:30,195,195,194.94,194.99,
2025-07-21T13:24:00+05:30,194.94,195,194.9,194.97,
2025-07-21T13:27:00+05:30,194.95,194.98,194.71,194.77,
2025-07-21T13:30:00+05:30,194.77,194.82,194.71,194.75,
2025-07-21T13:33:00+05:30,194.75,194.81,194.7,194.8,
2025-07-21T13:36:00+05:30,194.8,195.05,194.78,195.05,
2025-07-21T13:39:00+05:30,195.05,195.25,194.94,195.24,
2025-07-21T13:42:00+05:30,195.22,195.35,195.06,195.33,
2025-07-21T13:45:00+05:30,195.33,195.38,195.17,195.18,
2025-07-21T13:48:00+05:30,195.35,195.41,195.06,195.06,
2025-07-21T13:51:00+05:30,195.12,195.14,195,195.1,
2025-07-21T13:54:00+05:30,195.14,195.3,195.03,195.2,
2025-07-21T13:57:00+05:30,195.16,195.29,195.11,195.21,
2025-07-21T14:00:00+05:30,195.24,195.3,195.13,195.2,
2025-07-21T14:03:00+05:30,195.13,195.22,195.07,195.12,
2025-07-21T14:06:00+05:30,195.12,195.34,195.12,195.26,
2025-07-21T14:09:00+05:30,195.26,195.33,195.22,195.26,
2025-07-21T14:12:00+05:30,195.3,195.33,195.05,195.05,
2025-07-21T14:15:00+05:30,195.23,195.23,194.9,194.93,
2025-07-21T14:18:00+05:30,194.9,195,194.85,194.86,
2025-07-21T14:21:00+05:30,194.86,194.92,194.8,194.8,
2025-07-21T14:24:00+05:30,194.8,194.85,194.57,194.63,
2025-07-21T14:27:00+05:30,194.59,194.67,194.53,194.55,
2025-07-21T14:30:00+05:30,194.55,194.75,194.53,194.63,
2025-07-21T14:33:00+05:30,194.64,194.74,194.64,194.7,
2025-07-21T14:36:00+05:30,194.65,194.69,194.58,194.58,
2025-07-21T14:39:00+05:30,194.58,194.64,194.47,194.5,
2025-07-21T14:42:00+05:30,194.5,194.73,194.47,194.72,
2025-07-21T14:45:00+05:30,194.63,194.72,194.55,194.6,
2025-07-21T14:48:00+05:30,194.6,194.8,194.6,194.75,
2025-07-21T14:51:00+05:30,194.74,194.79,194.6,194.7,
2025-07-21T14:54:00+05:30,194.74,194.76,194.6,194.63,
2025-07-21T14:57:00+05:30,194.63,194.75,194.5,194.53,
2025-07-21T15:00:00+05:30,194.65,194.94,194.52,194.9,
2025-07-21T15:03:00+05:30,194.94,195.17,194.85,195.05,
2025-07-21T15:06:00+05:30,195.19,195.25,195,195.04,
2025-07-21T15:09:00+05:30,195.08,195.25,195.04,195.23,
2025-07-21T15:12:00+05:30,195.17,195.19,194.85,195.14,
2025-07-21T15:15:00+05:30,195.13,195.13,194.6,195.01,
2025-07-21T15:18:00+05:30,195.06,195.25,194.87,195.09,
2025-07-21T15:21:00+05:30,195.09,195.09,194.97,194.97,
2025-07-21T15:24:00+05:30,194.99,194.99,194.86,194.94,
2025-07-21T15:27:00+05:30,194.86,195,194.86,194.96,
2025-07-22T09:15:00+05:30,195.5,197.5,195.5,195.86,
2025-07-22T09:18:00+05:30,196,196.14,195.51,195.51,
2025-07-22T09:21:00+05:30,195.67,196.14,195.63,196.06,
2025-07-22T09:24:00+05:30,196.14,196.35,195.87,196.27,
2025-07-22T09:27:00+05:30,196.29,196.53,196.26,196.47,
2025-07-22T09:30:00+05:30,196.46,197,196.37,196.99,
2025-07-22T09:33:00+05:30,196.99,197.1,196.67,196.8,
2025-07-22T09:36:00+05:30,196.8,196.99,196.6,196.6,
2025-07-22T09:39:00+05:30,196.5,197.29,196.42,197.11,
2025-07-22T09:42:00+05:30,197.1,197.2,196.73,196.85,
2025-07-22T09:45:00+05:30,196.9,196.9,196.41,196.62,
2025-07-22T09:48:00+05:30,196.51,196.68,196.42,196.44,
2025-07-22T09:51:00+05:30,196.44,197.25,196.32,197.15,
2025-07-22T09:54:00+05:30,197.15,197.25,196.96,196.96,
2025-07-22T09:57:00+05:30,197,197.07,196.8,196.82,
2025-07-22T10:00:00+05:30,196.79,196.9,196.64,196.76,
2025-07-22T10:03:00+05:30,196.8,196.83,196.51,196.51,
2025-07-22T10:06:00+05:30,196.51,196.75,196.43,196.75,
2025-07-22T10:09:00+05:30,196.75,196.75,196.4,196.57,
2025-07-22T10:12:00+05:30,196.56,196.74,196.56,196.6,
2025-07-22T10:15:00+05:30,196.6,196.7,196.4,196.56,
2025-07-22T10:18:00+05:30,196.6,196.72,196.4,196.68,
2025-07-22T10:21:00+05:30,196.65,196.78,196.14,196.39,
2025-07-22T10:24:00+05:30,196.25,196.69,196.22,196.33,
2025-07-22T10:27:00+05:30,196.43,196.53,196.33,196.37,
2025-07-22T10:30:00+05:30,196.45,196.8,196.25,196.73,
2025-07-22T10:33:00+05:30,196.8,197.1,196.7,196.87,
2025-07-22T10:36:00+05:30,196.97,197.8,196.88,197.17,
2025-07-22T10:39:00+05:30,197.4,197.77,197.22,197.54,
2025-07-22T10:42:00+05:30,197.6,197.6,197.13,197.16,
2025-07-22T10:45:00+05:30,197.1,197.53,197.03,197.4,
2025-07-22T10:48:00+05:30,197.4,197.44,197.22,197.22,
2025-07-22T10:51:00+05:30,197.24,197.29,197,197,
2025-07-22T10:54:00+05:30,197,197.3,197,197.08,
2025-07-22T10:57:00+05:30,197.09,197.22,196.88,196.89,
2025-07-22T11:00:00+05:30,196.8,196.96,196.68,196.74,
2025-07-22T11:03:00+05:30,196.83,196.86,196.5,196.7,
2025-07-22T11:06:00+05:30,196.7,196.94,196.45,196.45,
2025-07-22T11:09:00+05:30,196.45,196.55,196.31,196.46,
2025-07-22T11:12:00+05:30,196.53,196.53,196.37,196.49,
2025-07-22T11:15:00+05:30,196.54,196.89,196.43,196.81,
2025-07-22T11:18:00+05:30,196.77,196.84,196.61,196.7,
2025-07-22T11:21:00+05:30,196.66,196.8,196.52,196.78,
2025-07-22T11:24:00+05:30,196.79,196.85,196.65,196.79,
2025-07-22T11:27:00+05:30,196.79,196.79,196.56,196.67,
2025-07-22T11:30:00+05:30,196.68,196.79,196.5,196.67,
2025-07-22T11:33:00+05:30,196.66,196.79,196.6,196.78,
2025-07-22T11:36:00+05:30,196.83,196.93,196.74,196.84,
2025-07-22T11:39:00+05:30,196.84,196.96,196.61,196.84,
2025-07-22T11:42:00+05:30,196.78,197,196.68,196.97,
2025-07-22T11:45:00+05:30,196.9,197.32,196.83,197.32,
2025-07-22T11:48:00+05:30,197.33,197.79,197.32,197.49,
2025-07-22T11:51:00+05:30,197.59,198,197.44,197.84,
2025-07-22T11:54:00+05:30,197.75,197.9,197.63,197.7,
2025-07-22T11:57:00+05:30,197.65,197.78,197.41,197.41,
2025-07-22T12:00:00+05:30,197.44,197.56,197.36,197.44,
2025-07-22T12:03:00+05:30,197.45,197.6,197.4,197.56,
2025-07-22T12:06:00+05:30,197.56,197.69,197.42,197.55,
2025-07-22T12:09:00+05:30,197.57,197.57,197.42,197.55,
2025-07-22T12:12:00+05:30,197.5,197.54,197.35,197.43,
2025-07-22T12:15:00+05:30,197.5,197.5,197.37,197.4,
2025-07-22T12:18:00+05:30,197.4,197.5,197.33,197.46,
2025-07-22T12:21:00+05:30,197.45,197.5,197.4,197.4,
2025-07-22T12:24:00+05:30,197.4,197.5,197.39,197.45,
2025-07-22T12:27:00+05:30,197.4,197.44,197.29,197.41,
2025-07-22T12:30:00+05:30,197.35,197.59,197.35,197.53,
2025-07-22T12:33:00+05:30,197.53,197.6,197.45,197.45,
2025-07-22T12:36:00+05:30,197.44,197.65,197.4,197.65,
2025-07-22T12:39:00+05:30,197.61,197.63,197.46,197.57,
2025-07-22T12:42:00+05:30,197.63,197.67,197.53,197.61,
2025-07-22T12:45:00+05:30,197.65,197.65,197.55,197.62,
2025-07-22T12:48:00+05:30,197.62,197.89,197.57,197.83,
2025-07-22T12:51:00+05:30,197.82,197.82,197.7,197.76,
2025-07-22T12:54:00+05:30,197.76,197.8,197.6,197.62,
2025-07-22T12:57:00+05:30,197.61,197.65,197.52,197.65,195.60855
2025-07-22T13:00:00+05:30,197.65,197.65,197.51,197.58,195.62816641791045
2025-07-22T13:03:00+05:30,197.58,197.65,197.5,197.61,195.64788615504568
2025-07-22T13:06:00+05:30,197.58,197.6,197.5,197.55,195.66681266096563
2025-07-22T13:09:00+05:30,197.51,197.6,197.5,197.51,195.68515283349333
2025-07-22T13:12:00+05:30,197.5,197.53,197.3,197.3,195.70122096450336
2025-07-22T13:15:00+05:30,197.3,197.48,197.3,197.41,195.71822374097596
2025-07-22T13:18:00+05:30,197.48,197.5,197.42,197.43,195.73525634056824
2025-07-22T13:21:00+05:30,197.43,197.47,197.37,197.45,195.75231846653273
2025-07-22T13:24:00+05:30,197.4,197.47,197.35,197.37,195.76841480019908
2025-07-22T13:27:00+05:30,197.32,197.44,197.32,197.44,195.78504748875432
2025-07-22T13:30:00+05:30,197.4,197.48,197.01,197.01,195.79723607095576
2025-07-22T13:33:00+05:30,197,197.29,196.96,197.17,195.81089541353333
2025-07-22T13:36:00+05:30,197.19,197.19,196.3,196.48,195.8175531706126
2025-07-22T13:39:00+05:30,196.48,196.69,196.32,196.62,195.82553771617864
2025-07-22T13:42:00+05:30,196.69,196.69,196.47,196.63,195.83354231601766
2025-07-22T13:45:00+05:30,196.63,196.64,196.35,196.59,195.84106925814683
2025-07-22T13:48:00+05:30,196.59,196.63,196.42,196.54,195.84802379289164
2025-07-22T13:51:00+05:30,196.54,196.64,196.46,196.64,195.85590415316136
2025-07-22T13:54:00+05:30,196.67,196.82,196.67,196.8,195.8652981416871
2025-07-22T13:57:00+05:30,196.74,196.84,196.62,196.76,195.87420064773997
2025-07-22T14:00:00+05:30,196.79,196.84,196.67,196.71,195.88251705920524
2025-07-22T14:03:00+05:30,196.71,196.79,196.65,196.7,195.8906512178201
2025-07-22T14:06:00+05:30,196.7,196.74,196.51,196.69,195.89860493704577
2025-07-22T14:09:00+05:30,196.59,196.67,196.45,196.57,195.90528548493586
2025-07-22T14:12:00+05:30,196.51,196.69,196.51,196.69,195.91309358956337
2025-07-22T14:15:00+05:30,196.67,196.67,196.31,196.31,195.91704290708014
2025-07-22T14:18:00+05:30,196.35,196.9,196.27,196.81,195.92592805228333
2025-07-22T14:21:00+05:30,196.77,196.79,196.55,196.6,195.9326352358427
2025-07-22T14:24:00+05:30,196.6,196.68,196.52,196.59,195.93917617876963
2025-07-22T14:27:00+05:30,196.52,196.6,196.5,196.52,195.94495552027442
2025-07-22T14:30:00+05:30,196.51,196.75,196.49,196.75,195.9529659131075
2025-07-22T14:33:00+05:30,196.76,196.87,196.67,196.77,195.9610956055144
2025-07-22T14:36:00+05:30,196.75,196.84,196.7,196.72,195.9686468930217
2025-07-22T14:39:00+05:30,196.8,196.84,196.7,196.75,195.9764215508026
2025-07-22T14:42:00+05:30,196.75,196.82,196.7,196.77,195.9843178537797
2025-07-22T14:45:00+05:30,196.75,196.9,196.75,196.8,195.9924340940406
2025-07-22T14:48:00+05:30,196.75,196.89,196.75,196.88,196.00126559559243
2025-07-22T14:51:00+05:30,196.8,196.87,196.66,196.66,196.00782016678056
2025-07-22T14:54:00+05:30,196.64,196.82,196.59,196.59,196.01361300094194
2025-07-22T14:57:00+05:30,196.59,196.6,196.36,196.51,196.01855217506193
2025-07-22T15:00:00+05:30,196.53,196.68,196.36,196.68,196.02513374545933
2025-07-22T15:03:00+05:30,196.7,196.77,196.59,196.7,196.03184883256918
2025-07-22T15:06:00+05:30,196.68,196.7,196.6,196.68,196.03829809791677
2025-07-22T15:09:00+05:30,196.66,196.8,196.61,196.77,196.04557871385788
2025-07-22T15:12:00+05:30,196.79,196.98,196.79,196.91,196.05417992068516
2025-07-22T15:15:00+05:30,196.87,196.95,196.74,196.74,196.06100400107636
2025-07-22T15:18:00+05:30,196.81,196.88,196.55,196.55,196.06586963290644
2025-07-22T15:21:00+05:30,196.51,196.56,196.44,196.48,196.06999033307653
2025-07-22T15:24:00+05:30,196.53,196.72,196.53,196.69,196.07615958349368
2025-07-22T15:27:00+05:30,196.61,196.75,196.45,196.45,196.07987938863303
2025-07-23T09:15:00+05:30,197.51,197.7,196.76,196.89,196.08794029023866
2025-07-23T09:18:00+05:30,196.97,197.13,196.53,197.1,196.09801053610693
2025-07-23T09:21:00+05:30,197.1,197.57,196.83,197.5,196.11196068002627
2025-07-23T09:24:00+05:30,197.5,197.75,197.26,197.75,196.12825957873247
2025-07-23T09:27:00+05:30,197.7,197.86,197.51,197.79,196.14479430929234
2025-07-23T09:30:00+05:30,197.95,198.35,197.86,198.15,196.16474660472227
2025-07-23T09:33:00+05:30,198.1,198.8,198.1,198.73,196.19027151412803
2025-07-23T09:36:00+05:30,198.8,199.16,198.16,198.25,196.21076632493273
2025-07-23T09:39:00+05:30,198.21,198.21,197.24,197.4,196.22259949582892
2025-07-23T09:42:00+05:30,197.39,197.39,197.1,197.29,196.23322039636793
2025-07-23T09:45:00+05:30,197.27,197.3,197.11,197.28,196.243636113817
2025-07-23T09:48:00+05:30,197.3,197.99,197.3,197.91,196.2602168490029
2025-07-23T09:51:00+05:30,197.91,197.93,197.58,197.65,196.2740455370725
2025-07-23T09:54:00+05:30,197.65,197.93,197.6,197.8,196.2892291635693
2025-07-23T09:57:00+05:30,197.75,197.76,197.5,197.55,196.30177414701637
2025-07-23T10:00:00+05:30,197.57,197.58,197.22,197.31,196.311806245056
2025-07-23T10:03:00+05:30,197.32,197.41,197.13,197.28,196.3214400137619
2025-07-23T10:06:00+05:30,197.21,197.28,196.81,196.81,196.3263013071573
2025-07-23T10:09:00+05:30,196.96,197.35,196.77,197.35,196.33648736380252
2025-07-23T10:12:00+05:30,197.35,197.5,197.2,197.28,196.34587554923732
2025-07-23T10:15:00+05:30,197.28,197.29,196.25,196.6,196.34840415073745
2025-07-23T10:18:00+05:30,196.6,196.61,196.4,196.5,196.349912567148
2025-07-23T10:21:00+05:30,196.44,196.52,196.17,196.25,196.348918412251
2025-07-23T10:24:00+05:30,196.25,196.54,196.23,196.54,196.35081972158184
2025-07-23T10:27:00+05:30,196.54,196.85,196.52,196.55,196.35280161489945
