time,open,high,low,close,EMA
2025-07-14T09:15:00+05:30,18795,18830,18650,18815,
2025-07-14T09:18:00+05:30,18810,18870,18790,18790,
2025-07-14T09:21:00+05:30,18765,18765,18655,18695,
2025-07-14T09:24:00+05:30,18685,18715,18595,18620,
2025-07-14T09:27:00+05:30,18620,18650,18560,18630,
2025-07-14T09:30:00+05:30,18655,18690,18640,18680,
2025-07-14T09:33:00+05:30,18685,18695,18620,18640,
2025-07-14T09:36:00+05:30,18655,18675,18635,18665,
2025-07-14T09:39:00+05:30,18660,18745,18645,18735,
2025-07-14T09:42:00+05:30,18735,18740,18700,18730,
2025-07-14T09:45:00+05:30,18720,18720,18640,18665,
2025-07-14T09:48:00+05:30,18665,18695,18665,18675,
2025-07-14T09:51:00+05:30,18675,18685,18665,18665,
2025-07-14T09:54:00+05:30,18675,18675,18630,18640,
2025-07-14T09:57:00+05:30,18640,18685,18640,18665,
2025-07-14T10:00:00+05:30,18665,18675,18665,18670,
2025-07-14T10:03:00+05:30,18675,18680,18655,18660,
2025-07-14T10:06:00+05:30,18670,18670,18505,18520,
2025-07-14T10:09:00+05:30,18540,18540,18385,18415,
2025-07-14T10:12:00+05:30,18410,18420,18340,18375,
2025-07-14T10:15:00+05:30,18375,18430,18375,18430,
2025-07-14T10:18:00+05:30,18425,18470,18410,18420,
2025-07-14T10:21:00+05:30,18415,18435,18410,18435,
2025-07-14T10:24:00+05:30,18420,18480,18420,18475,
2025-07-14T10:27:00+05:30,18475,18580,18455,18555,
2025-07-14T10:30:00+05:30,18590,18640,18590,18625,
2025-07-14T10:33:00+05:30,18630,18650,18605,18620,
2025-07-14T10:36:00+05:30,18630,18650,18600,18650,
2025-07-14T10:39:00+05:30,18650,18650,18625,18645,
2025-07-14T10:42:00+05:30,18645,18660,18620,18625,
2025-07-14T10:45:00+05:30,18605,18650,18600,18640,
2025-07-14T10:48:00+05:30,18640,18665,18640,18660,
2025-07-14T10:51:00+05:30,18665,18665,18655,18660,
2025-07-14T10:54:00+05:30,18665,18665,18655,18665,
2025-07-14T10:57:00+05:30,18665,18665,18630,18630,
2025-07-14T11:00:00+05:30,18630,18645,18620,18625,
2025-07-14T11:03:00+05:30,18625,18630,18620,18620,
2025-07-14T11:06:00+05:30,18625,18635,18590,18620,
2025-07-14T11:09:00+05:30,18615,18630,18610,18630,
