time,open,high,low,close,EMA
2024-04-08T09:15:00+05:30,766.5,768.15,766.5,767.55,
2024-04-08T09:18:00+05:30,767.55,768.3,766.15,766.15,
2024-04-08T09:21:00+05:30,766.15,766.8,764.8,765.65,
2024-04-08T09:24:00+05:30,765.4,766.15,764.8,766.1,
2024-04-08T09:27:00+05:30,765.85,766.6,765.25,765.8,
2024-04-08T09:30:00+05:30,765.7,766.35,764,764.6,
2024-04-08T09:33:00+05:30,764.6,766.35,764.4,766.35,
2024-04-08T09:36:00+05:30,766.35,767.95,765.75,767.7,
2024-04-08T09:39:00+05:30,767.65,767.7,766.2,767,
2024-04-08T09:42:00+05:30,766.8,766.9,764.5,765.25,
2024-04-08T09:45:00+05:30,765.5,765.95,764.4,764.5,
2024-04-08T09:48:00+05:30,764.5,765.5,764.35,764.9,
2024-04-08T09:51:00+05:30,764.9,765.4,764.9,765.2,
2024-04-08T09:54:00+05:30,765.3,765.3,765,765.3,
2024-04-08T09:57:00+05:30,765.35,766.1,764.6,765.15,
2024-04-08T10:00:00+05:30,765.2,766.45,765,765.8,
2024-04-08T10:03:00+05:30,765.8,765.95,764.8,764.8,
2024-04-08T10:06:00+05:30,764.8,764.8,764.2,764.2,
2024-04-08T10:09:00+05:30,764.2,764.5,763.05,763.8,
2024-04-08T10:12:00+05:30,763.8,764.85,763.8,764.35,
2024-04-08T10:15:00+05:30,764.35,764.65,763.7,763.85,
2024-04-08T10:18:00+05:30,764,764.9,763.8,764.4,
2024-04-08T10:21:00+05:30,764.55,764.7,764,764.7,
2024-04-08T10:24:00+05:30,764.6,765.3,763.9,764,
2024-04-08T10:27:00+05:30,764,765,763.7,764.75,
2024-04-08T10:30:00+05:30,764.7,764.95,764.5,764.85,
2024-04-08T10:33:00+05:30,764.9,765.45,764.7,765,
2024-04-08T10:36:00+05:30,764.95,765.05,764.5,764.7,
2024-04-08T10:39:00+05:30,764.8,765.1,764.75,764.9,
2024-04-08T10:42:00+05:30,764.8,764.95,764,764.75,
2024-04-08T10:45:00+05:30,764.7,764.9,764.1,764.7,
2024-04-08T10:48:00+05:30,764.7,765.5,764.5,764.8,
2024-04-08T10:51:00+05:30,764.85,765.3,764.8,765.15,
2024-04-08T10:54:00+05:30,765.05,765.2,764.7,764.9,
2024-04-08T10:57:00+05:30,764.9,765.2,764.65,764.8,
2024-04-08T11:00:00+05:30,764.75,765,764.45,764.9,
2024-04-08T11:03:00+05:30,764.85,765.45,764.3,765.4,
2024-04-08T11:06:00+05:30,765.4,765.45,764.05,765,
2024-04-08T11:09:00+05:30,764.95,765,764.35,764.6,
2024-04-08T11:12:00+05:30,764.55,765,764.55,764.8,
2024-04-08T11:15:00+05:30,764.6,764.8,763,763.55,
2024-04-08T11:18:00+05:30,763.45,763.9,763.1,763.5,
2024-04-08T11:21:00+05:30,763.5,763.6,762,762.05,
2024-04-08T11:24:00+05:30,761.85,763.2,761.85,763.05,
2024-04-08T11:27:00+05:30,763,763.65,762.6,763,
2024-04-08T11:30:00+05:30,763,763.45,762.75,763.25,
2024-04-08T11:33:00+05:30,763.25,763.5,762.4,763,
2024-04-08T11:36:00+05:30,763,763.65,763,763.1,
2024-04-08T11:39:00+05:30,763.1,763.4,762.95,763.3,
2024-04-08T11:42:00+05:30,763.25,763.4,762.55,762.55,
2024-04-08T11:45:00+05:30,762.6,762.8,762,762.4,
2024-04-08T11:48:00+05:30,762.35,762.65,762.05,762.1,
2024-04-08T11:51:00+05:30,762.15,762.65,762,762.5,
2024-04-08T11:54:00+05:30,762.5,762.8,762.1,762.5,
2024-04-08T11:57:00+05:30,762.8,762.8,762.25,762.6,
2024-04-08T12:00:00+05:30,762.5,762.8,762.4,762.5,
2024-04-08T12:03:00+05:30,762.5,762.65,761.8,762,
2024-04-08T12:06:00+05:30,761.85,762.8,761.85,762.65,
2024-04-08T12:09:00+05:30,762.65,762.85,762.1,762.5,
2024-04-08T12:12:00+05:30,762.55,763.15,762.3,763.15,
2024-04-08T12:15:00+05:30,763.1,763.55,763.05,763.35,
2024-04-08T12:18:00+05:30,763.35,764,763.2,763.75,
2024-04-08T12:21:00+05:30,763.7,763.95,763.45,763.8,
2024-04-08T12:24:00+05:30,763.85,764,763.7,763.75,
2024-04-08T12:27:00+05:30,763.75,764.5,763.7,764.25,
2024-04-08T12:30:00+05:30,764.4,764.8,764.05,764.6,
2024-04-08T12:33:00+05:30,764.6,765.35,764.3,765.25,
2024-04-08T12:36:00+05:30,765.4,766.25,765.2,765.55,
2024-04-08T12:39:00+05:30,765.55,766,765.55,765.9,
2024-04-08T12:42:00+05:30,765.75,766.4,765.7,766.1,
2024-04-08T12:45:00+05:30,766.1,766.1,765.15,765.8,
2024-04-08T12:48:00+05:30,765.7,765.9,765.1,765.3,
2024-04-08T12:51:00+05:30,765.3,765.35,764.65,764.95,
2024-04-08T12:54:00+05:30,765,765.55,764.6,765.2,
2024-04-08T12:57:00+05:30,765.15,766,764.9,765.9,
2024-04-08T13:00:00+05:30,765.75,767.1,765.6,766.35,
2024-04-08T13:03:00+05:30,766.4,766.85,766,766.2,
2024-04-08T13:06:00+05:30,766.1,766.65,765.7,766.55,
2024-04-08T13:09:00+05:30,766.55,768,766.45,767.45,
2024-04-08T13:12:00+05:30,767.45,767.75,767,767.65,
2024-04-08T13:15:00+05:30,767.6,767.85,767.15,767.4,
2024-04-08T13:18:00+05:30,767.5,767.85,767.1,767.45,
2024-04-08T13:21:00+05:30,767.35,767.45,766.8,767.1,
2024-04-08T13:24:00+05:30,767.15,767.4,766.3,766.4,
2024-04-08T13:27:00+05:30,766.4,766.6,764.15,764.9,
2024-04-08T13:30:00+05:30,764.85,766.45,764.7,766.2,
2024-04-08T13:33:00+05:30,766.2,767.15,766.15,766.9,
2024-04-08T13:36:00+05:30,766.9,767.05,766.55,767,
2024-04-08T13:39:00+05:30,766.95,767.5,766.7,767.4,
2024-04-08T13:42:00+05:30,767.4,767.5,767.05,767.05,
2024-04-08T13:45:00+05:30,767,767.3,766.25,766.25,
2024-04-08T13:48:00+05:30,766.15,766.9,766.1,766.7,
2024-04-08T13:51:00+05:30,766.7,766.85,766.15,766.4,
2024-04-08T13:54:00+05:30,766.3,767.2,766.2,767.05,
2024-04-08T13:57:00+05:30,767.1,767.15,766.3,766.5,
2024-04-08T14:00:00+05:30,766.35,766.55,765.3,766.55,
2024-04-08T14:03:00+05:30,766.45,766.85,766.25,766.7,
2024-04-08T14:06:00+05:30,766.7,767.8,766.7,767.25,
2024-04-08T14:09:00+05:30,767.1,767.35,766.6,766.95,
2024-04-08T14:12:00+05:30,766.95,767,766.5,766.75,
2024-04-08T14:15:00+05:30,766.8,767.45,766.6,767.3,
2024-04-08T14:18:00+05:30,767.5,768.6,767.2,768,
2024-04-08T14:21:00+05:30,768.2,769,768,768.05,
2024-04-08T14:24:00+05:30,768,768.6,767.85,768.15,
2024-04-08T14:27:00+05:30,768.3,768.6,768.1,768.5,
2024-04-08T14:30:00+05:30,768.5,770,768.5,769.25,
2024-04-08T14:33:00+05:30,769.25,769.7,769.05,769.15,
2024-04-08T14:36:00+05:30,769,769.3,768.75,769.25,
2024-04-08T14:39:00+05:30,769.25,769.5,769,769,
2024-04-08T14:42:00+05:30,769,769.05,768.55,768.75,
2024-04-08T14:45:00+05:30,768.8,769.5,768.75,769,
2024-04-08T14:48:00+05:30,769,769.45,768.65,769.25,
2024-04-08T14:51:00+05:30,769.3,769.3,768.55,768.75,
2024-04-08T14:54:00+05:30,768.95,769.2,768.65,768.85,
2024-04-08T14:57:00+05:30,768.85,769.35,768.7,769.35,
2024-04-08T15:00:00+05:30,769.3,769.5,768.3,768.65,
2024-04-08T15:03:00+05:30,768.7,769.25,768,768.9,
2024-04-08T15:06:00+05:30,768.65,768.7,767.7,767.85,
2024-04-08T15:09:00+05:30,767.85,768.25,767.6,768.1,
2024-04-08T15:12:00+05:30,768,768.8,767.65,768.5,
2024-04-08T15:15:00+05:30,768.45,768.9,768,768.4,
2024-04-08T15:18:00+05:30,768.15,768.5,767.7,768.3,
2024-04-08T15:21:00+05:30,768.3,768.5,767.8,768.3,
2024-04-08T15:24:00+05:30,768.15,768.5,767.9,768.4,
2024-04-08T15:27:00+05:30,768.4,768.4,767.6,767.6,
2024-04-09T09:15:00+05:30,768.95,769.9,766.25,768.45,
2024-04-09T09:18:00+05:30,768.65,769.5,768.1,768.3,
